feature_name,feature_family,source,latest_available_date,overall_missing_rate,recent_symbol_coverage,recent_20d_avg_symbol_coverage,available_trading_days,date_coverage_rate,is_pit_safe,known_at,history_start,is_allowed_for_base_model,is_allowed_for_recent_model,is_allowed_for_prediction_only,rejection_reason
volume,raw_aux,feature_panel,2026-04-16,0.0,300,300.0,794,1.0,True,post_close_T,,True,True,False,allowed
ma_5,technical,feature_panel,2026-04-16,0.0063595161680099375,300,300.0,789,0.9937027707808564,True,post_close_T,,True,True,False,allowed
ma_10,technical,feature_panel,2026-04-16,0.012719032336019875,300,300.0,784,0.9874055415617129,True,post_close_T,,True,True,False,allowed
ma_20,technical,feature_panel,2026-04-16,0.02543806467203975,300,300.0,774,0.9748110831234257,True,post_close_T,,True,True,False,allowed
ma_60,technical,feature_panel,2026-04-16,0.07631419401611926,300,300.0,734,0.924433249370277,True,post_close_T,,True,True,False,allowed
macd_dif,technical,feature_panel,2026-04-16,0.044516613176069565,300,300.0,759,0.9559193954659949,True,post_close_T,,True,True,False,allowed
macd_dea,technical,feature_panel,2026-04-16,0.044516613176069565,300,300.0,759,0.9559193954659949,True,post_close_T,,True,True,False,allowed
macd_hist,technical,feature_panel,2026-04-16,0.044516613176069565,300,300.0,759,0.9559193954659949,True,post_close_T,,True,True,False,allowed
kdj_k,technical,feature_panel,2026-04-16,0.011447129102417889,300,300.0,785,0.9886649874055415,True,post_close_T,,True,True,False,allowed
kdj_d,technical,feature_panel,2026-04-16,0.011447129102417889,300,300.0,785,0.9886649874055415,True,post_close_T,,True,True,False,allowed
kdj_j,technical,feature_panel,2026-04-16,0.011447129102417889,300,300.0,785,0.9886649874055415,True,post_close_T,,True,True,False,allowed
rsi_6,technical,feature_panel,2026-04-16,0.0076314194016119255,300,300.0,788,0.9924433249370277,True,post_close_T,,True,True,False,allowed
rsi_12,technical,feature_panel,2026-04-16,0.015262838803223851,300,300.0,782,0.9848866498740554,True,post_close_T,,True,True,False,allowed
rsi_24,technical,feature_panel,2026-04-16,0.030525677606447702,300,300.0,770,0.9697732997481109,True,post_close_T,,True,True,False,allowed
boll_upper,technical,feature_panel,2026-04-16,0.02543806467203975,300,300.0,774,0.9748110831234257,True,post_close_T,,True,True,False,allowed
boll_mid,technical,feature_panel,2026-04-16,0.02543806467203975,300,300.0,774,0.9748110831234257,True,post_close_T,,True,True,False,allowed
atr_14,technical,feature_panel,2026-04-16,0.017806645270427825,300,300.0,780,0.982367758186398,True,post_close_T,,True,True,False,allowed
adx_14,technical,feature_panel,2026-04-16,0.03561329054085565,300,300.0,766,0.964735516372796,True,post_close_T,,True,True,False,allowed
obv,technical,feature_panel,2026-04-16,0.03179758084004969,300,300.0,769,0.9685138539042821,True,post_close_T,,True,True,False,allowed
cci_14,technical,feature_panel,2026-04-16,0.017806645270427825,300,300.0,780,0.982367758186398,True,post_close_T,,True,True,False,allowed
roc_10,technical,feature_panel,2026-04-16,0.012719032336019875,300,300.0,784,0.9874055415617129,True,post_close_T,,True,True,False,allowed
willr_14,technical,feature_panel,2026-04-16,0.017806645270427825,300,300.0,780,0.982367758186398,True,post_close_T,,True,True,False,allowed
stoch_k,technical,feature_panel,2026-04-16,0.019078548504029815,300,300.0,779,0.9811083123425692,True,post_close_T,,True,True,False,allowed
