feature_name,feature_family,source,latest_available_date,overall_missing_rate,recent_symbol_coverage,recent_20d_avg_symbol_coverage,available_trading_days,date_coverage_rate,is_pit_safe,known_at,history_start,is_allowed_for_base_model,is_allowed_for_recent_model,is_allowed_for_prediction_only,rejection_reason
volume,raw_aux,feature_panel,2026-06-24,0.0,285,297.75,839,1.0,True,post_close_T,,True,True,False,allowed
ma_5,technical,feature_panel,2026-06-24,0.0060165575664227955,285,297.75,834,0.9940405244338498,True,post_close_T,,True,True,False,allowed
ma_10,technical,feature_panel,2026-06-24,0.012033115132845591,285,297.75,829,0.9880810488676997,True,post_close_T,,True,True,False,allowed
ma_20,technical,feature_panel,2026-06-24,0.024066230265691182,285,297.75,819,0.9761620977353993,True,post_close_T,,True,True,False,allowed
ma_60,technical,feature_panel,2026-06-24,0.07219869079707354,285,297.75,779,0.9284862932061978,True,post_close_T,,True,True,False,allowed
macd_dif,technical,feature_panel,2026-06-24,0.04211590296495957,285,297.75,804,0.9582836710369488,True,post_close_T,,True,True,False,allowed
macd_dea,technical,feature_panel,2026-06-24,0.04211590296495957,285,297.75,804,0.9582836710369488,True,post_close_T,,True,True,False,allowed
macd_hist,technical,feature_panel,2026-06-24,0.04211590296495957,285,297.75,804,0.9582836710369488,True,post_close_T,,True,True,False,allowed
kdj_k,technical,feature_panel,2026-06-24,0.010829803619561032,285,297.75,830,0.9892729439809297,True,post_close_T,,True,True,False,allowed
kdj_d,technical,feature_panel,2026-06-24,0.010829803619561032,285,297.75,830,0.9892729439809297,True,post_close_T,,True,True,False,allowed
kdj_j,technical,feature_panel,2026-06-24,0.010829803619561032,285,297.75,830,0.9892729439809297,True,post_close_T,,True,True,False,allowed
rsi_6,technical,feature_panel,2026-06-24,0.007219869079707355,285,297.75,833,0.9928486293206198,True,post_close_T,,True,True,False,allowed
rsi_12,technical,feature_panel,2026-06-24,0.01443973815941471,285,297.75,827,0.9856972586412396,True,post_close_T,,True,True,False,allowed
rsi_24,technical,feature_panel,2026-06-24,0.02887947631882942,285,297.75,815,0.9713945172824792,True,post_close_T,,True,True,False,allowed
boll_upper,technical,feature_panel,2026-06-24,0.024066230265691182,285,297.75,819,0.9761620977353993,True,post_close_T,,True,True,False,allowed
boll_mid,technical,feature_panel,2026-06-24,0.024066230265691182,285,297.75,819,0.9761620977353993,True,post_close_T,,True,True,False,allowed
atr_14,technical,feature_panel,2026-06-24,0.016846361185983826,285,297.75,825,0.9833134684147795,True,post_close_T,,True,True,False,allowed
adx_14,technical,feature_panel,2026-06-24,0.03369272237196765,285,297.75,811,0.966626936829559,True,post_close_T,,True,True,False,allowed
obv,technical,feature_panel,2026-06-24,0.030082787832113978,285,297.75,814,0.9702026221692491,True,post_close_T,,True,True,False,allowed
cci_14,technical,feature_panel,2026-06-24,0.016846361185983826,285,297.75,825,0.9833134684147795,True,post_close_T,,True,True,False,allowed
roc_10,technical,feature_panel,2026-06-24,0.012033115132845591,285,297.75,829,0.9880810488676997,True,post_close_T,,True,True,False,allowed
willr_14,technical,feature_panel,2026-06-24,0.016846361185983826,285,297.75,825,0.9833134684147795,True,post_close_T,,True,True,False,allowed
stoch_k,technical,feature_panel,2026-06-24,0.018049672699268385,285,297.75,824,0.9821215733015495,True,post_close_T,,True,True,False,allowed
stoch_d,technical,feature_panel,2026-06-24,0.020456295725837504,285,297.75,822,0.9797377830750894,True,post_close_T,,True,True,False,allowed
reversal_3d,technical,feature_panel,2026-06-24,0.0036099345398536774,285,297.75,836,0.9964243146603099,True,post_close_T,,True,True,False,allowed
fund_revenue,fundamental,silver/fundamentals,2026-06-24,0.9807991592863561,25,26.7,576,0.6865315852205006,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_net_profit,fundamental,silver/fundamentals,2026-06-24,0.9807991592863561,25,26.7,576,0.6865315852205006,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_eps,fundamental,silver/fundamentals,2026-06-24,0.9811400975484533,24,25.7,576,0.6865315852205006,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_roe,fundamental,silver/fundamentals,2026-06-24,0.9811400975484533,24,25.7,576,0.6865315852205006,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
fund_lag_days,fundamental,silver/fundamentals,2026-06-24,0.9807991592863561,25,26.7,576,0.6865315852205006,True,announce_date,,False,False,True,base-missing>30%; base-recent-coverage-low; recent-20d-coverage-low
cs_rank_close,cross_sectional,feature_panel,2026-06-24,0.0,285,297.75,839,1.0,True,post_close_T,,True,True,False,allowed
cs_rank_volume,cross_sectional,feature_panel,2026-06-24,0.0,285,297.75,839,1.0,True,post_close_T,,True,True,False,allowed
cs_rank_rsi_6,cross_sectional,feature_panel,2026-06-24,0.007219869079707355,285,297.75,833,0.9928486293206198,True,post_close_T,,True,True,False,allowed
cs_rank_roc_10,cross_sectional,feature_panel,2026-06-24,0.012033115132845591,285,297.75,829,0.9880810488676997,True,post_close_T,,True,True,False,allowed
cs_rank_ma_5,cross_sectional,feature_panel,2026-06-24,0.0060165575664227955,285,297.75,834,0.9940405244338498,True,post_close_T,,True,True,False,allowed
cs_zscore_close,cross_sectional,feature_panel,2026-06-24,0.0,285,297.75,839,1.0,True,post_close_T,,True,True,False,allowed
cs_zscore_volume,cross_sectional,feature_panel,2026-06-24,0.0,285,297.75,839,1.0,True,post_close_T,,True,True,False,allowed
cs_zscore_rsi_6,cross_sectional,feature_panel,2026-06-24,0.007219869079707355,285,297.75,833,0.9928486293206198,True,post_close_T,,True,True,False,allowed
pe_ttm,raw_aux,feature_panel,2026-06-18,0.0034294378128609934,0,255.0,836,0.9964243146603099,True,post_close_T,,True,False,False,latest-date-stale
pb,raw_aux,feature_panel,2026-06-18,0.0034294378128609934,0,255.0,836,0.9964243146603099,True,post_close_T,,True,False,False,latest-date-stale
turnover_pct,raw_aux,feature_panel,2026-06-18,0.0034294378128609934,0,255.0,836,0.9964243146603099,True,post_close_T,,True,False,False,latest-date-stale
cs_log_float_mcap,valuation,silver/valuation,2026-06-18,0.0034294378128609934,0,255.0,836,0.9964243146603099,True,post_close_T,,True,False,False,latest-date-stale
cs_pe_ttm_rank,valuation,silver/valuation,2026-06-18,0.07054614298549608,0,238.85,836,0.9964243146603099,True,post_close_T,,False,False,True,base-recent-coverage-low; recent-20d-coverage-low; latest-date-stale
cs_pb_rank,valuation,silver/valuation,2026-06-18,0.0034294378128609934,0,255.0,836,0.9964243146603099,True,post_close_T,,True,False,False,latest-date-stale
cs_turnover_rank,valuation,silver/valuation,2026-06-18,0.0034294378128609934,0,255.0,836,0.9964243146603099,True,post_close_T,,True,False,False,latest-date-stale
cs_log_mcap_rank,valuation,silver/valuation,2026-06-18,0.0034294378128609934,0,255.0,836,0.9964243146603099,True,post_close_T,,True,False,False,latest-date-stale
pe_momentum_5d,valuation,silver/valuation,2026-06-18,0.009445995379283789,0,255.0,831,0.9904648390941597,True,post_close_T,,True,False,False,latest-date-stale
ind_rank_rsi_6,industry,silver/industry_map,2026-06-24,0.007219869079707355,285,297.75,833,0.9928486293206198,True,scd_pit_join,,True,True,False,allowed
ind_rank_turnover,industry,silver/industry_map,2026-06-18,0.0034294378128609934,0,255.0,836,0.9964243146603099,True,scd_pit_join,,True,False,False,latest-date-stale
sector_momentum_10d,industry,silver/industry_map,2026-06-24,0.011980971633936594,285,297.75,829,0.9880810488676997,True,scd_pit_join,,True,True,False,allowed
cs_margin_balance_change_5d,margin,silver/margin,2026-06-24,0.07911773199845976,10,252.25,833,0.9928486293206198,True,post_close_T_lag1,,True,True,False,allowed
cs_rzrq_ratio_rank,margin,silver/margin,2026-06-24,0.07320145039147735,10,252.25,838,0.99880810488677,True,post_close_T_lag1,,True,True,False,allowed
