symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
000975,2026-06-10,2026-06-10,0.02825725817188266,1,1.0,0.004094120757811134,31,0.9,,,-0.09999999999999998,A_MAIN,"base strong, recent confirms",1,1,-1.0,0.05506822612085771,0.02781894835247722,0.026803118908382162,0.0038183777741089588
600183,2026-06-10,2026-06-10,0.02470591009751904,2,0.9966666666666667,0.02569032316445864,1,1.0,,,0.0033333333333332993,A_MAIN,"base strong, recent confirms",2,2,-2.0,0.1981566820276499,0.17090740425926942,0.22801041875375683,0.20502567761948362
688041,2026-06-10,2026-06-10,0.023499025078487046,3,0.9933333333333333,0.0016101353620920063,58,0.81,,,-0.18333333333333324,A_MAIN,"base strong, recent confirms",3,3,-3.0,0.015422301959701956,-0.011826975808678534,0.13165884626000568,0.10867410512573247
688008,2026-06-10,2026-06-10,0.02258453071661153,4,0.99,-0.0007093025097566255,112,0.63,,,-0.36,A_MAIN,"base strong, recent confirms",4,4,-4.0,0.06764320069960639,0.0403939229312259,0.1801486663751639,0.1571639252408907
000657,2026-06-10,2026-06-10,0.021611412482166283,5,0.9866666666666667,0.010298178958765853,6,0.9833333333333333,,,-0.0033333333333334103,A_MAIN,"base strong, recent confirms",5,5,-5.0,0.18665811417575373,0.15940883640737324,0.2633739576651699,0.2403892165308967
688012,2026-06-10,2026-06-10,0.020842004452971633,6,0.9833333333333333,0.00662961203750843,17,0.9466666666666667,,,-0.036666666666666625,A_MAIN,"base strong, recent confirms",6,6,-6.0,0.05238849300607029,0.0251392152376898,0.18764845605700708,0.16466371492273388
600489,2026-06-10,2026-06-10,0.02042143004917505,7,0.98,0.003790021170369604,36,0.8833333333333333,,,-0.09666666666666668,A_MAIN,"base strong, recent confirms",7,7,-7.0,0.0910852713178294,0.06383599354944891,0.0620155038759691,0.039030762741695896
300476,2026-06-10,2026-06-10,0.02019001392342123,8,0.9766666666666667,0.00016153222558587,80,0.7366666666666667,,,-0.24,A_MAIN,"base strong, recent confirms",8,8,-8.0,0.09217156200073728,0.0649222842323568,0.13371021260906968,0.11072547147479647
688472,2026-06-10,2026-06-10,0.019855014864984123,9,0.9733333333333334,0.0030577273472067405,40,0.87,,,-0.10333333333333339,A_MAIN,"base strong, recent confirms",9,9,-9.0,0.025915996425379895,-0.0013332813430005953,0.0008936550491509543,-0.02209108608512225
300661,2026-06-10,2026-06-10,0.018269981026668283,11,0.9666666666666667,0.0015072666744202282,59,0.8066666666666666,,,-0.16000000000000003,A_MAIN,"base strong, recent confirms",10,10,-10.0,0.21174681619463986,0.18449753842625938,0.2618323512640184,0.23884761012974517
