arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,arm_score,arm_rank,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
fixed_weight_0.3,300274,2026-04-13,2026-04-13,0.012954655790048984,8,0.9766666666666667,0.01828835028528201,3,0.9933333333333333,,,0.9883333333333333,1,-0.04812680115273782,-0.047946846460386855,-0.023198847262247857,-0.030297652401987746
fixed_weight_0.3,002202,2026-04-13,2026-04-13,0.008731967689362746,14,0.9566666666666667,0.016890734339597126,5,0.9866666666666667,,,0.9776666666666667,2,0.0035573122529644063,0.003737266945315373,0.03280632411067197,0.02570751897093208
fixed_weight_0.3,300866,2026-04-13,2026-04-13,0.011447106907889533,9,0.9733333333333334,0.015381665121246743,9,0.9733333333333334,,,0.9733333333333334,3,0.0245176137369445,0.024697568429295467,0.02195078775004422,0.014851982610304331
fixed_weight_0.3,600362,2026-04-13,2026-04-13,0.008715342873084661,15,0.9533333333333334,0.014639851258366594,10,0.97,,,0.9649999999999999,4,0.008847647820457327,0.009027602512808293,-0.002589555459646231,-0.00968836059938612
fixed_weight_0.3,688047,2026-04-13,2026-04-13,0.01082053123420199,10,0.97,0.011545626874398383,14,0.9566666666666667,,,0.9606666666666666,5,0.020225510923185475,0.020405465615536442,-0.015010570824524283,-0.022109375964264173
fixed_weight_0.3,688472,2026-04-13,2026-04-13,0.013412678665667607,6,0.9833333333333333,0.010684801364911047,17,0.9466666666666667,,,0.9576666666666667,6,-0.012705530642750373,-0.012525575950399407,-0.002989536621823663,-0.010088341761563552
fixed_weight_0.3,301236,2026-04-13,2026-04-13,0.006498313548458346,27,0.9133333333333333,0.012607801491526861,13,0.96,,,0.946,7,0.02184959349593485,0.022029548188285817,0.01143292682926833,0.00433412168952844
fixed_weight_0.3,688183,2026-04-13,2026-04-13,0.007546430398300751,20,0.9366666666666666,0.009693274409968061,19,0.94,,,0.9389999999999998,8,0.00209777453484139,0.0022777292271923565,0.025446917183509665,0.018348112043769776
fixed_weight_0.3,000657,2026-04-13,2026-04-13,0.004049713232699937,62,0.7966666666666666,0.015973112901301816,7,0.98,,,0.9249999999999999,9,0.1237484981978374,0.12392845289018836,0.15758910692831418,0.15049030178857428
fixed_weight_0.3,600115,2026-04-13,2026-04-13,0.008697873881531575,16,0.95,0.00842055133986301,27,0.9133333333333333,,,0.9243333333333332,10,-0.002262443438914019,-0.0020824887465630527,0.04751131221719462,0.04041250707745473
fixed_weight_0.3,000768,2026-04-13,2026-04-13,0.004832888750038961,55,0.82,0.01301764361493795,11,0.9666666666666667,,,0.9226666666666666,11,-0.008041817450743838,-0.007861862758392872,-0.020506634499396936,-0.027605439639136826
fixed_weight_0.3,600029,2026-04-13,2026-04-13,0.005961541981407218,36,0.8833333333333333,0.008655720283543205,26,0.9166666666666666,,,0.9066666666666665,12,-0.005226480836237002,-0.005046526143886035,0.006968641114982521,-0.00013016402475736922
fixed_weight_0.3,603799,2026-04-13,2026-04-13,0.006858516695857728,22,0.93,0.006569314805349321,35,0.8866666666666667,,,0.8996666666666667,13,0.02932413360514352,0.02950408829749449,0.018347185196800897,0.011248380057061007
fixed_weight_0.3,002558,2026-04-13,2026-04-13,0.007538767811069677,21,0.9333333333333333,0.006393646752017898,36,0.8833333333333333,,,0.8983333333333332,14,0.01871827411167515,0.018898228804026116,0.009517766497461944,0.0024189613577220532
fixed_weight_0.3,000630,2026-04-13,2026-04-13,0.006038028810313254,34,0.89,0.007346185861003068,31,0.9,,,0.897,15,0.014308426073131875,0.01448838076548284,0.01748807631160587,0.010389271171865982
fixed_weight_0.3,601628,2026-04-13,2026-04-13,0.005775632867878319,39,0.8733333333333333,0.0074820037360330775,30,0.9033333333333333,,,0.8943333333333332,16,-0.006619009796134501,-0.006439055103783534,-0.011119936457505974,-0.018218741597245864
fixed_weight_0.3,600066,2026-04-13,2026-04-13,0.0061049587758492015,31,0.9,0.006637254534900127,34,0.89,,,0.893,17,-0.01933621933621943,-0.01915626464386846,-0.008658008658008587,-0.015756813797748476
fixed_weight_0.3,002625,2026-04-13,2026-04-13,0.004227751450712847,59,0.8066666666666666,0.009033987373622846,24,0.9233333333333333,,,0.8883333333333333,18,-0.019911504424778848,-0.01973154973242788,-0.012291052114061007,-0.019389857253800897
fixed_weight_0.3,300251,2026-04-13,2026-04-13,0.01053547788243691,11,0.9666666666666667,0.0048271324265518,47,0.8466666666666667,,,0.8826666666666667,19,-0.023696682464454888,-0.02351672777210392,-0.013033175355450122,-0.02013198049519001
fixed_weight_0.3,002532,2026-04-13,2026-04-13,0.006095564490960131,33,0.8933333333333333,0.0060328958129929455,39,0.8733333333333333,,,0.8793333333333333,20,0.03976356797420744,0.0399435226665584,-0.02740462117141307,-0.03450342631115296
fixed_weight_0.3,002466,2026-04-13,2026-04-13,0.002865754906161482,85,0.72,0.00928948946861232,21,0.9333333333333333,,,0.8693333333333333,21,0.03285293661862698,0.033032891310977947,0.0957694095769408,0.08867060443720091
fixed_weight_0.3,688111,2026-04-13,2026-04-13,0.005489856617636402,42,0.8633333333333333,0.0058513635595811055,40,0.87,,,0.8679999999999999,22,-0.003943185933287685,-0.0037632312409367186,-0.005914778899931639,-0.013013584039671528
fixed_weight_0.3,301308,2026-04-13,2026-04-13,0.0029197484859092653,83,0.7266666666666667,0.009067915596249334,23,0.9266666666666666,,,0.8666666666666666,23,-0.028810799453724,-0.028630844761373033,-0.014549847673074767,-0.021648652812814657
fixed_weight_0.3,600048,2026-04-13,2026-04-13,0.005159464481934582,51,0.8333333333333334,0.006251677371441838,37,0.88,,,0.866,24,0.020168067226890685,0.020348021919241652,0.003361344537815114,-0.0037374606019247763
fixed_weight_0.3,603260,2026-04-13,2026-04-13,0.01384758598795355,5,0.9866666666666667,0.003993803717249346,61,0.8,,,0.8559999999999999,25,-0.019910514541387037,-0.01973055984903607,0.009619686800894867,0.0025208816611549762
fixed_weight_0.3,600372,2026-04-13,2026-04-13,0.005813108816780205,38,0.8766666666666667,0.004617729803362668,49,0.84,,,0.851,26,0.0,0.0001799546923509665,0.0,-0.00709880513973989
fixed_weight_0.3,000938,2026-04-13,2026-04-13,0.0024486530168376496,95,0.6866666666666666,0.008891728351791117,25,0.92,,,0.85,27,-0.005757466714645609,-0.0055775120222946424,-0.008996041741633709,-0.0160948468813736
fixed_weight_0.3,600515,2026-04-13,2026-04-13,0.005990095098378737,35,0.8866666666666667,0.00456581495005808,51,0.8333333333333334,,,0.8493333333333334,28,-0.013586956521739246,-0.01340700182938828,-0.013586956521739246,-0.020685761661479136
fixed_weight_0.3,601058,2026-04-13,2026-04-13,0.006343618602718448,28,0.91,0.004300047804715422,55,0.82,,,0.847,29,0.020516717325227862,0.02069667201757883,0.03647416413373872,0.02937535899399883
fixed_weight_0.3,601319,2026-04-13,2026-04-13,0.005623199329655423,41,0.8666666666666667,0.004333844591802263,53,0.8266666666666667,,,0.8386666666666667,30,-0.01468624833110821,-0.014506293638757243,-0.021361815754339153,-0.028460620894079042
fixed_weight_0.3,002460,2026-04-13,2026-04-13,0.0017571438623335024,128,0.5766666666666667,0.01136643070436995,16,0.95,,,0.8379999999999999,31,-0.04780244676030809,-0.04762249206795713,-0.05573176257362933,-0.06283056771336921
fixed_weight_0.3,300750,2026-04-13,2026-04-13,0.005048377208013615,54,0.8233333333333334,0.004614958519562297,50,0.8366666666666667,,,0.8326666666666667,32,0.03114537652661875,0.031325331218969715,0.03902013486113076,0.03192132972139087
fixed_weight_0.3,002074,2026-04-13,2026-04-13,0.003688775448993096,66,0.7833333333333333,0.0049172033688920595,46,0.85,,,0.83,33,0.007765531062124076,0.007945485754475042,0.01603206412825653,0.00893325898851664
fixed_weight_0.3,001979,2026-04-13,2026-04-13,0.0057239253188789245,40,0.87,0.004012935068602141,60,0.8033333333333333,,,0.8233333333333334,34,0.044864226682408415,0.04504418137475938,0.015348288075560657,0.008249482935820767
fixed_weight_0.3,600219,2026-04-13,2026-04-13,0.001986413715345507,114,0.6233333333333333,0.006936865117250956,32,0.8966666666666666,,,0.8146666666666665,35,0.001607717041800738,0.0017876717341517045,-0.036977491961414755,-0.04407629710115465
fixed_weight_0.3,688223,2026-04-13,2026-04-13,0.01984048697182624,2,0.9966666666666667,0.003051005471901962,81,0.7333333333333333,,,0.8123333333333334,36,0.04826546003016596,0.04844541472251693,0.03619909502262453,0.02910028988288464
fixed_weight_0.3,002736,2026-04-13,2026-04-13,0.00539309081502213,44,0.8566666666666667,0.0038074320816145423,65,0.7866666666666666,,,0.8076666666666666,37,0.004299226139294898,0.004479180831645865,-0.06018916595012902,-0.0672879710898689
fixed_weight_0.3,000338,2026-04-13,2026-04-13,0.0012212973555829766,149,0.5066666666666667,0.00942389267472582,20,0.9366666666666666,,,0.8076666666666666,38,0.012223071046600475,0.012403025738951442,0.028647822765469844,0.021549017625729954
fixed_weight_0.3,300408,2026-04-13,2026-04-13,0.0008421580130148448,180,0.4033333333333333,0.01578898455717666,8,0.9766666666666667,,,0.8046666666666666,39,0.00871324101447013,0.008893195706821096,0.023027851252528375,0.015929046112788486
fixed_weight_0.3,002709,2026-04-13,2026-04-13,0.0004494762439867358,200,0.33666666666666667,0.02193101725736654,1,1.0,,,0.8009999999999999,40,-0.01140994295028519,-0.011229988257934224,0.06968215158924207,0.06258334644950218
fixed_weight_0.3,002236,2026-04-13,2026-04-13,0.004425044099635747,58,0.81,0.003921021704229479,63,0.7933333333333333,,,0.7983333333333333,41,0.05036373810856176,0.050543692800912726,0.015109121432568484,0.008010316292828595
fixed_weight_0.3,000776,2026-04-13,2026-04-13,0.002270093397502234,103,0.66,0.005145426155848296,44,0.8566666666666667,,,0.7976666666666667,42,0.024452368823229875,0.024632323515580843,0.012735608762098893,0.005636803622359003
fixed_weight_0.3,601377,2026-04-13,2026-04-13,0.0067138297170064535,24,0.9233333333333333,0.002896750641491966,84,0.7233333333333334,,,0.7833333333333332,43,-0.009933774834437026,-0.00975382014208606,-0.013245033112582738,-0.020343838252322628
fixed_weight_0.3,605499,2026-04-13,2026-04-13,0.004213550105256372,60,0.8033333333333333,0.0033156612264942783,70,0.77,,,0.7799999999999999,44,0.04485942668136711,0.045039381373718074,0.05285281146637266,0.04575400632663277
fixed_weight_0.3,603501,2026-04-13,2026-04-13,0.0047884266186171785,56,0.8166666666666667,0.003269297261109978,72,0.7633333333333333,,,0.7793333333333333,45,-0.017130168129427803,-0.016950213437076835,-0.019139261922385464,-0.026238067062125354
fixed_weight_0.3,600588,2026-04-13,2026-04-13,0.005091463528987905,52,0.83,0.0031652138319355895,75,0.7533333333333333,,,0.7763333333333333,46,0.007323026851098646,0.007502981543449613,-0.007323026851098424,-0.014421831990838314
fixed_weight_0.3,600741,2026-04-13,2026-04-13,0.002610601884806823,91,0.7,0.004073929006766995,59,0.8066666666666666,,,0.7746666666666666,47,-0.005355404089581239,-0.0051754493972302725,-0.007789678675754641,-0.01488848381549453
fixed_weight_0.3,002241,2026-04-13,2026-04-13,0.002411030286138448,98,0.6766666666666666,0.004254198626423459,56,0.8166666666666667,,,0.7746666666666666,48,-0.012335526315789491,-0.012155571623438525,0.0032894736842103978,-0.0038093314555294926
fixed_weight_0.3,603296,2026-04-13,2026-04-13,0.0008477977892974099,179,0.4066666666666667,0.009129667781446377,22,0.93,,,0.773,49,-0.00907519446845284,-0.008895239776101875,0.021895707288965616,0.014796902149225726
fixed_weight_0.3,002179,2026-04-13,2026-04-13,0.001113219981782677,156,0.48333333333333334,0.006773432049850531,33,0.8933333333333333,,,0.7703333333333333,50,-0.023320377568017858,-0.02314042287566689,-0.0019433647973348123,-0.009042169937074702
fixed_weight_0.3,000002,2026-04-13,2026-04-13,0.007676547968464282,19,0.94,0.002540602892420736,92,0.6966666666666667,,,0.7696666666666666,51,-0.01492537313432829,-0.014745418441977324,-0.02985074626865658,-0.036949551408396474
fixed_weight_0.3,688396,2026-04-13,2026-04-13,0.006135254209281483,29,0.9066666666666666,0.0026915964138485263,89,0.7066666666666667,,,0.7666666666666666,52,0.003668229060525663,0.0038481837528766293,0.05135520684736106,0.044256401707621164
fixed_weight_0.3,601127,2026-04-13,2026-04-13,0.003915340090471108,64,0.79,0.00317774914272201,74,0.7566666666666667,,,0.7666666666666666,53,-0.004606224019773175,-0.004426269327422208,0.0006740815638690556,-0.006424723575870835
fixed_weight_0.3,601021,2026-04-13,2026-04-13,0.004083879265054637,61,0.8,0.003067251660959436,78,0.7433333333333333,,,0.7603333333333333,54,0.0006329113924050667,0.0008128660847560331,0.02742616033755274,0.02032735519781285
fixed_weight_0.3,603993,2026-04-13,2026-04-13,0.005357372321257673,45,0.8533333333333334,0.002809843368498631,86,0.7166666666666667,,,0.7576666666666666,55,0.034214618973561484,0.03439457366591245,0.026438569206842955,0.019339764067103065
fixed_weight_0.3,300413,2026-04-13,2026-04-13,0.004024033084278963,63,0.7933333333333333,0.0027333966244265876,88,0.71,,,0.7349999999999999,56,-0.007075471698113178,-0.006895517005762211,-0.002830188679245227,-0.009928993818985116
fixed_weight_0.3,601688,2026-04-13,2026-04-13,0.009452177945090925,13,0.96,0.0018243984690669735,110,0.6366666666666667,,,0.7336666666666667,57,0.007395668251452658,0.007575622943803625,0.0015847860538826808,-0.00551401908585721
fixed_weight_0.3,688126,2026-04-13,2026-04-13,0.005879712844429406,37,0.88,0.0021557659268857028,101,0.6666666666666666,,,0.7306666666666666,58,0.018539325842696464,0.01871928053504743,0.11067415730337071,0.10357535216363083
fixed_weight_0.3,301165,2026-04-13,2026-04-13,-0.0014268176884802625,269,0.10666666666666667,0.02124177957409082,2,0.9966666666666667,,,0.7296666666666667,59,0.03224829674489049,0.03242825143724146,0.0003028009084027339,-0.0067960042313371565
fixed_weight_0.3,601600,2026-04-13,2026-04-13,0.0011575954134432104,153,0.49333333333333335,0.004565477006447219,52,0.83,,,0.729,60,0.01845906902086658,0.01863902371321755,-0.02487961476725531,-0.0319784199069952
fixed_weight_0.3,300628,2026-04-13,2026-04-13,0.01339494475134336,7,0.98,0.0016092601859852747,117,0.6133333333333333,,,0.7233333333333333,61,-0.0089208633093526,-0.008740908617001634,-0.0069064748201439485,-0.014005279959883838
fixed_weight_0.3,601360,2026-04-13,2026-04-13,0.002432886061581332,97,0.68,0.003066336425278888,79,0.74,,,0.722,62,0.003676470588235281,0.0038564252805862475,0.003676470588235281,-0.0034223345515046093
fixed_weight_0.3,300014,2026-04-13,2026-04-13,0.0053240194084786885,47,0.8466666666666667,0.002059305236495125,103,0.66,,,0.716,63,-0.03386537126995137,-0.03368541657760041,-0.004441360166550945,-0.011540165306290835
fixed_weight_0.3,601456,2026-04-13,2026-04-13,0.0035317512249755487,71,0.7666666666666667,0.0024479219349407924,93,0.6933333333333334,,,0.7153333333333334,64,-0.002139037433155022,-0.0019590827408040557,-0.007486631016042855,-0.014585436155782745
fixed_weight_0.3,601059,2026-04-13,2026-04-13,0.003039745785106998,81,0.7333333333333333,0.0026603100288513123,90,0.7033333333333334,,,0.7123333333333333,65,-0.009395184967704084,-0.009215230275353118,-0.01350557839107458,-0.02060438353081447
fixed_weight_0.3,002463,2026-04-13,2026-04-13,-0.003963861168879521,284,0.056666666666666664,0.01649128354784082,6,0.9833333333333333,,,0.7053333333333333,66,0.0012359666289010196,0.001415921321251986,0.023380368730044232,0.016281563590304342
fixed_weight_0.3,600176,2026-04-13,2026-04-13,-0.0064933208052471315,290,0.03666666666666667,0.017898757695115935,4,0.99,,,0.704,67,0.031868811881188064,0.03204876657353903,-0.022277227722772297,-0.029376032862512187
fixed_weight_0.3,600030,2026-04-13,2026-04-13,0.0034873951343851275,74,0.7566666666666667,0.002248248862411408,97,0.68,,,0.703,68,0.00271633682576633,0.0028962915181172965,0.004268529297632995,-0.0028302758421068957
fixed_weight_0.3,002415,2026-04-13,2026-04-13,0.003056270835615416,80,0.7366666666666667,0.002403226138946595,95,0.6866666666666666,,,0.7016666666666667,69,-0.01038802322028709,-0.010208068527936124,0.007332722273144077,0.0002339171334041863
fixed_weight_0.3,600549,2026-04-13,2026-04-13,0.001653753210050139,130,0.57,0.003118116749024192,76,0.75,,,0.696,70,0.07319587628865976,0.07337583098101072,0.09261168384879737,0.08551287870905748
fixed_weight_0.3,002230,2026-04-13,2026-04-13,0.00141626105703892,137,0.5466666666666666,0.0032570383496809754,73,0.76,,,0.696,71,-0.0018621973929235924,-0.001682242700572626,0.009310986964618406,0.002212181824878516
fixed_weight_0.3,002475,2026-04-13,2026-04-13,-0.0020012590966762894,274,0.09,0.01140142149742361,15,0.9533333333333334,,,0.6943333333333334,72,0.010314507947243756,0.010494462639594722,0.11176868447751098,0.1046698793377711
fixed_weight_0.3,002938,2026-04-13,2026-04-13,-0.003624116932787758,281,0.06666666666666667,0.012988215388477985,12,0.9633333333333334,,,0.6943333333333334,73,0.02978580990629176,0.029965764598642728,0.14792503346720198,0.14082622832746208
fixed_weight_0.3,002371,2026-04-13,2026-04-13,0.00196718006282884,117,0.6133333333333333,0.002949733120764958,83,0.7266666666666667,,,0.6926666666666665,74,-0.024273255813953454,-0.024093301121602486,-0.06486710963455156,-0.07196591477429144
fixed_weight_0.3,000301,2026-04-13,2026-04-13,0.0012252852925190773,147,0.5133333333333333,0.0032693956733548,71,0.7666666666666667,,,0.6906666666666667,75,0.06754385964912268,0.06772381434147365,0.11140350877192984,0.10430470363218995
fixed_weight_0.3,603893,2026-04-13,2026-04-13,0.002956423026433731,82,0.73,0.00216131676146364,100,0.67,,,0.688,76,0.006832773752724286,0.007012728445075253,0.026859869234847178,0.01976106409510729
fixed_weight_0.3,600958,2026-04-13,2026-04-13,0.0019290697623122555,120,0.6033333333333334,0.0028672052404937897,85,0.72,,,0.685,77,0.0,0.0001799546923509665,-0.0021413276231262435,-0.009240132762866133
fixed_weight_0.3,300661,2026-04-13,2026-04-13,0.006099897977402525,32,0.8966666666666666,0.0013895893130672309,123,0.5933333333333334,,,0.6843333333333332,78,0.03077948034643585,0.030959435038786818,0.04370419720186547,0.036605392062125576
fixed_weight_0.3,688012,2026-04-13,2026-04-13,0.00013592878348092554,224,0.25666666666666665,0.005340434061488339,41,0.8666666666666667,,,0.6836666666666666,79,-0.03234996783383881,-0.032170013141487847,-0.04815733847991921,-0.0552561436196591
fixed_weight_0.3,601888,2026-04-13,2026-04-13,0.003332650612983556,79,0.74,0.0020079141010072043,104,0.6566666666666666,,,0.6816666666666666,80,-0.033149971048060056,-0.03297001635570909,-0.026201505500868638,-0.03330031064060853
fixed_weight_0.3,000157,2026-04-13,2026-04-13,0.0009035998800618441,174,0.42333333333333334,0.003907912199130312,64,0.79,,,0.6799999999999999,81,-0.07134637514384345,-0.07116642045149249,-0.0598388952819332,-0.06693770042167309
fixed_weight_0.3,601901,2026-04-13,2026-04-13,0.003450498203481897,75,0.7533333333333333,0.0018702133728175595,107,0.6466666666666666,,,0.6786666666666665,82,-0.015384615384615441,-0.015204660692264475,-0.019580419580419672,-0.026679224720159562
fixed_weight_0.3,301269,2026-04-13,2026-04-13,0.004772982786860091,57,0.8133333333333334,0.0017392943914518299,115,0.62,,,0.6779999999999999,83,-0.005913043478260938,-0.005733088785909971,-0.009971014492753616,-0.017069819632493505
fixed_weight_0.3,002422,2026-04-13,2026-04-13,0.005279446575452328,48,0.8433333333333334,0.0014875379041639533,120,0.6033333333333334,,,0.6753333333333333,84,0.027506654835847355,0.027686609528198323,-0.02188701567583562,-0.02898582081557551
fixed_weight_0.3,000408,2026-04-13,2026-04-13,9.159400293977678e-05,229,0.24,0.005190354181165311,43,0.86,,,0.6739999999999999,85,0.01775218903682374,0.017932143729174708,0.03706369197553072,0.029964886835790832
fixed_weight_0.3,001280,2026-04-13,2026-04-13,-0.0010252906578606836,266,0.11666666666666667,0.007775888449978735,28,0.91,,,0.672,86,0.014644351464435212,0.014824306156786178,0.05082451390598064,0.043725708766240746
fixed_weight_0.3,600570,2026-04-13,2026-04-13,0.0027670599137209423,87,0.7133333333333334,0.001978816155779252,105,0.6533333333333333,,,0.6713333333333333,87,-0.011240164855751189,-0.011060210163400223,-0.019108280254777177,-0.026207085394517066
fixed_weight_0.3,600845,2026-04-13,2026-04-13,0.0003087518719198736,207,0.31333333333333335,0.0043123641710745095,54,0.8233333333333334,,,0.6703333333333333,88,0.006205673758865382,0.006385628451216349,-0.020390070921985748,-0.027488876061725637
fixed_weight_0.3,600584,2026-04-13,2026-04-13,0.00016999608806859986,222,0.2633333333333333,0.004772888942144034,48,0.8433333333333334,,,0.6693333333333333,89,-0.008119079837618504,-0.007939125145267538,-0.0069914298601714275,-0.014090234999911317
fixed_weight_0.3,302132,2026-04-13,2026-04-13,0.0004084105326344523,203,0.32666666666666666,0.0042057395167353915,57,0.8133333333333334,,,0.6673333333333333,90,-0.016652311225954564,-0.016472356533603596,-0.012058570198105079,-0.019157375337844968
fixed_weight_0.3,300476,2026-04-13,2026-04-13,-0.009737623991768255,294,0.023333333333333334,0.009832734885417579,18,0.9433333333333334,,,0.6673333333333333,91,0.0597707866627708,0.05995074135512177,0.07431576896853986,0.06721696382879998
fixed_weight_0.3,601988,2026-04-13,2026-04-13,0.002468162991730315,94,0.69,0.0019753095001696507,106,0.65,,,0.6619999999999999,92,0.00698080279232105,0.007160757484672017,0.03490401396160547,0.027805208821865584
fixed_weight_0.3,300316,2026-04-13,2026-04-13,0.00668708623732643,25,0.92,0.0006806042848895521,137,0.5466666666666666,,,0.6586666666666666,93,0.08376470588235296,0.08394466057470393,0.05082352941176471,0.04372472427202482
fixed_weight_0.3,002493,2026-04-13,2026-04-13,0.0019079786396689312,121,0.6,0.0022694765153139945,96,0.6833333333333333,,,0.6583333333333333,94,-0.03906899418121357,-0.0388890394888626,0.01995012468827939,0.012851319548539502
fixed_weight_0.3,600233,2026-04-13,2026-04-13,0.001092723023426134,159,0.47333333333333333,0.003062840750712544,80,0.7366666666666667,,,0.6576666666666666,95,0.055498981670061065,0.05567893636241203,0.07128309572301417,0.06418429058327428
fixed_weight_0.3,600118,2026-04-13,2026-04-13,-0.0030418252990455086,278,0.07666666666666666,0.007703068324173557,29,0.9066666666666666,,,0.6576666666666666,96,0.018248607654935523,0.01842856234728649,0.18734447209384997,0.18024566695411007
fixed_weight_0.3,601211,2026-04-13,2026-04-13,0.0028636158220886106,86,0.7166666666666667,0.0017743720114365405,113,0.6266666666666667,,,0.6536666666666666,97,-0.009334889148191361,-0.009154934455840395,-0.022753792298716435,-0.029852597438456325
fixed_weight_0.3,688981,2026-04-13,2026-04-13,0.0003586149029071611,205,0.32,0.0039904523152762056,62,0.7966666666666666,,,0.6536666666666666,98,0.03654452324665103,0.03672447793900199,0.0585106382978724,0.051411833158132504
fixed_weight_0.3,300450,2026-04-13,2026-04-13,0.0004087374229313858,202,0.33,0.0035530634335006386,67,0.78,,,0.6449999999999999,99,0.03359173126614978,0.03377168595850075,0.08121077888519745,0.07411197374545757
fixed_weight_0.3,601100,2026-04-13,2026-04-13,0.0005153228689672589,198,0.3433333333333333,0.0033983358037216788,69,0.7733333333333333,,,0.6443333333333333,100,0.005150214592274827,0.0053301692846257935,-0.042441583214115286,-0.04954038835385518
fixed_weight_0.3,600690,2026-04-13,2026-04-13,0.00506189672660014,53,0.8266666666666667,0.0007712973635437439,134,0.5566666666666666,,,0.6376666666666666,101,-0.004297994269340966,-0.004118039576989999,-0.005253104106972439,-0.012351909246712329
fixed_weight_0.3,300442,2026-04-13,2026-04-13,-0.0034376016256421602,280,0.07,0.006154098543952624,38,0.8766666666666667,,,0.6346666666666667,102,0.03456221198156695,0.03474216667391791,-0.011959622558700977,-0.019058427698440867
fixed_weight_0.3,601111,2026-04-13,2026-04-13,0.005247200578856054,49,0.84,0.000579692939427441,141,0.5333333333333333,,,0.6253333333333333,103,0.0014471780028944004,0.0016271326952453668,0.0347322720694645,0.02763346692972461
fixed_weight_0.3,601077,2026-04-13,2026-04-13,0.0019480889465484015,119,0.6066666666666667,0.0018136499079859766,111,0.6333333333333333,,,0.6253333333333333,104,-0.01805555555555549,-0.017875600863204524,0.009722222222222188,0.0026234170824822973
fixed_weight_0.3,000792,2026-04-13,2026-04-13,6.846286712308867e-05,231,0.23333333333333334,0.00343509590308652,68,0.7766666666666666,,,0.6136666666666666,105,-0.02496139989706636,-0.024781445204715393,-0.03525476067936173,-0.04235356581910162
fixed_weight_0.3,000100,2026-04-13,2026-04-13,0.0018272976851697522,124,0.59,0.001759215396970859,114,0.6233333333333333,,,0.6133333333333333,106,-0.018604651162790753,-0.018424696470439785,-0.009302325581395321,-0.01640113072113521
fixed_weight_0.3,002353,2026-04-13,2026-04-13,0.0005868343456804211,192,0.36333333333333334,0.002765172185207671,87,0.7133333333333334,,,0.6083333333333334,107,0.09415820029027588,0.09433815498262685,0.057783018867924474,0.05068421372818458
fixed_weight_0.3,002837,2026-04-13,2026-04-13,-0.013170919089685613,297,0.013333333333333334,0.005322990859238403,42,0.8633333333333333,,,0.6083333333333333,108,0.007947805456702373,0.008127760149053339,-0.007473309608540868,-0.014572114748280757
fixed_weight_0.3,002648,2026-04-13,2026-04-13,-0.009266292271945158,293,0.02666666666666667,0.005002541915671483,45,0.8533333333333334,,,0.6053333333333334,109,-0.0862304021813225,-0.08605044748897153,-0.10974778459441037,-0.11684658973415026
fixed_weight_0.3,601877,2026-04-13,2026-04-13,0.001272689174962823,145,0.52,0.0018261941968664255,109,0.64,,,0.604,110,-0.02986894239561122,-0.029688987703260252,-0.031697653154526106,-0.038796458294266
fixed_weight_0.3,300418,2026-04-13,2026-04-13,-0.0010691823505364054,267,0.11333333333333333,0.004082053981766435,58,0.81,,,0.601,111,0.034808259587020496,0.03498821427937146,0.06745329400196654,0.06035448886222664
fixed_weight_0.3,601998,2026-04-13,2026-04-13,0.0027170040539957908,88,0.71,0.000698987392550212,136,0.55,,,0.598,112,-0.01115241635687736,-0.010972461664526393,0.019826517967781898,0.012727712828042009
fixed_weight_0.3,600015,2026-04-13,2026-04-13,0.0022002027547117233,105,0.6533333333333333,0.0009451685299347208,129,0.5733333333333334,,,0.5973333333333333,113,-0.023255813953488413,-0.023075859261137446,-0.017783857729138153,-0.024882662868878042
