symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
301236,2026-05-07,2026-05-07,0.03683941028829899,1,1.0,0.015765242367776974,27,0.9133333333333333,,,-0.08666666666666667,A_MAIN,"base strong, recent confirms",1,1,-1.0,0.0026347305389220477,-0.013602650321430317,-0.05317365269461072,-0.037915267509263516
603986,2026-05-07,2026-05-07,0.030375492809138017,2,0.9966666666666667,0.028927337968924844,7,0.98,,,-0.01666666666666672,A_MAIN,"base strong, recent confirms",2,2,-2.0,0.09250322232546981,0.07626584146511745,0.12343754683612596,0.13869593202147315
688008,2026-05-07,2026-05-07,0.024263174518518487,3,0.9933333333333333,0.014256013456082324,32,0.8966666666666666,,,-0.09666666666666668,A_MAIN,"base strong, recent confirms",3,3,-3.0,0.23079849717030476,0.2145611163099524,0.179340847481809,0.1945992326671562
300803,2026-05-07,2026-05-07,0.017553159611506018,5,0.9866666666666667,0.005993613039997916,96,0.6833333333333333,,,-0.30333333333333334,A_MAIN,"base strong, recent confirms",4,4,-4.0,0.03675686160411207,0.020519480743759703,-0.035399088352245256,-0.020140703166898054
300661,2026-05-07,2026-05-07,0.01684564680355799,6,0.9833333333333333,0.030109275146834917,6,0.9833333333333333,,,0.0,A_MAIN,"base strong, recent confirms",5,5,-5.0,0.1845022624434387,0.16826488158308633,0.22058823529411753,0.23584662047946472
600588,2026-05-07,2026-05-07,0.01666945397257464,7,0.98,0.007078583926960971,84,0.7233333333333334,,,-0.2566666666666666,A_MAIN,"base strong, recent confirms",6,6,-6.0,-0.02986279257465707,-0.04610017343500944,-0.07102502017756263,-0.05576663499221542
300394,2026-05-07,2026-05-07,0.016382932071892578,8,0.9766666666666667,0.026990585010515,9,0.9733333333333334,,,-0.0033333333333332993,A_MAIN,"base strong, recent confirms",7,7,-7.0,0.15901667526216268,0.1427792944018103,0.22580367887227104,0.24106206405761824
300502,2026-05-07,2026-05-07,0.013162396451214337,11,0.9666666666666667,0.005760537092662061,99,0.6733333333333333,,,-0.29333333333333333,A_MAIN,"base strong, recent confirms",8,8,-8.0,0.14016364283173233,0.12392626197137996,0.10583422269654919,0.12109260788189638
300308,2026-05-07,2026-05-07,0.01238625686308477,12,0.9633333333333334,0.0062486608696383445,93,0.6933333333333334,,,-0.27,A_MAIN,"base strong, recent confirms",9,9,-9.0,0.1841986455981941,0.16796126473784173,0.18495485327313754,0.20021323845848474
301308,2026-05-07,2026-05-07,0.011169953583017311,15,0.9533333333333334,0.035257745082895364,2,0.9966666666666667,,,0.043333333333333335,A_MAIN,"base strong, recent confirms",10,10,-10.0,0.2748147375013048,0.25857735664095244,0.23026823922346318,0.24552662440881037
