arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
gate_first_noveto,600549,2026-06-29,2026-06-29,0.04669868944181664,1,1.0,0.008684902937338675,34,0.889261744966443,,,-0.11073825503355705,A_MAIN,"base strong, recent confirms",1,1,-1.0,-0.11913145539906111,-0.12579405234176352,,
gate_first_noveto,300450,2026-06-29,2026-06-29,0.029180023547037085,3,0.9932885906040269,-0.001325423385240735,92,0.6946308724832215,,,-0.2986577181208053,A_MAIN,"base strong, recent confirms",2,2,-2.0,-0.035117878192534424,-0.04178047513523684,,
gate_first_noveto,600426,2026-06-29,2026-06-29,0.028208616135476906,4,0.9899328859060402,-0.0016520870613685864,100,0.6677852348993288,,,-0.3221476510067114,A_MAIN,"base strong, recent confirms",3,3,-3.0,0.04013377926421402,0.033471182321511604,,
gate_first_noveto,002532,2026-06-29,2026-06-29,0.025839612154673182,5,0.9865771812080537,-0.0005188854084853948,82,0.7281879194630873,,,-0.25838926174496646,A_MAIN,"base strong, recent confirms",4,4,-4.0,0.0596458527493009,0.05298325580659848,,
gate_first_noveto,688303,2026-06-29,2026-06-29,0.02563512447008825,6,0.9832214765100671,0.012566464201715472,21,0.9328859060402684,,,-0.05033557046979864,A_MAIN,"base strong, recent confirms",5,5,-5.0,-0.015490533562822706,-0.02215313050552512,,
gate_first_noveto,688126,2026-06-29,2026-06-29,0.023985095270960988,7,0.9798657718120806,0.022143692907859922,4,0.9899328859060402,,,0.010067114093959662,A_MAIN,"base strong, recent confirms",6,6,-6.0,-0.13436951616946602,-0.14103211311216843,,
gate_first_noveto,000807,2026-06-29,2026-06-29,0.02294031500959448,8,0.9765100671140939,-1.2756415734253226e-05,71,0.7651006711409396,,,-0.21140939597315433,A_MAIN,"base strong, recent confirms",7,7,-7.0,0.012646793134598155,0.005984196191895742,,
gate_first_noveto,600183,2026-06-29,2026-06-29,0.022318110826297897,9,0.9731543624161074,0.018637358156374295,8,0.9765100671140939,,,0.003355704697986517,A_MAIN,"base strong, recent confirms",8,8,-8.0,-0.0727797001153403,-0.0794422970580427,,
gate_first_noveto,000338,2026-06-29,2026-06-29,0.018374322838310943,10,0.9697986577181208,-0.0011917069100234956,89,0.7046979865771812,,,-0.2651006711409396,A_MAIN,"base strong, recent confirms",9,9,-9.0,0.03266055045871563,0.02599795351601322,,
gate_first_noveto,601600,2026-06-29,2026-06-29,0.018331247629627373,11,0.9664429530201343,0.00594480996516273,39,0.87248322147651,,,-0.09395973154362425,A_MAIN,"base strong, recent confirms",10,10,-10.0,0.01338199513381988,0.006719398191117466,,
gate_first_noveto,600584,2026-06-29,2026-06-29,0.018262305340144343,12,0.9630872483221476,0.02177920869038814,5,0.9865771812080537,,,0.023489932885906062,A_MAIN,"base strong, recent confirms",11,11,-11.0,-0.12235634958957031,-0.12901894653227272,,
gate_first_noveto,002920,2026-06-29,2026-06-29,0.017992398233082626,14,0.9563758389261745,0.016954760165979948,11,0.9664429530201343,,,0.010067114093959773,A_MAIN,"base strong, recent confirms",12,12,-12.0,0.06110429447852761,0.054441697535825194,,
gate_first_noveto,002074,2026-06-29,2026-06-29,0.0168344631127649,15,0.9530201342281879,-0.0017103147216011414,101,0.6644295302013423,,,-0.28859060402684555,A_MAIN,"base strong, recent confirms",13,13,-13.0,-0.016721192293711384,-0.023383789236413797,,
gate_first_noveto,600188,2026-06-29,2026-06-29,0.01664546228185453,16,0.9496644295302014,0.005784272867256569,40,0.8691275167785235,,,-0.08053691275167785,A_MAIN,"base strong, recent confirms",14,14,-14.0,0.0016882386043894915,-0.004974358338312922,,
gate_first_noveto,002463,2026-06-29,2026-06-29,0.01626337776041778,17,0.9463087248322147,0.010719593300562944,26,0.9161073825503355,,,-0.030201342281879207,A_MAIN,"base strong, recent confirms",15,15,-15.0,-0.11420157068062842,-0.12086416762333083,,
gate_first_noveto,300476,2026-06-29,2026-06-29,0.01610152231594138,18,0.9429530201342282,0.005417175298841667,41,0.8657718120805369,,,-0.07718120805369133,A_MAIN,"base strong, recent confirms",16,16,-16.0,-0.11072944029096787,-0.11739203723367028,,
gate_first_noveto,600118,2026-06-29,2026-06-29,0.015644478000267897,19,0.9395973154362416,0.009609619544509366,29,0.9060402684563759,,,-0.03355704697986572,A_MAIN,"base strong, recent confirms",17,17,-17.0,0.05179768433881771,0.04513508739611529,,
gate_first_noveto,688223,2026-06-29,2026-06-29,0.014796111553065858,20,0.9362416107382551,0.00046989446090727036,66,0.7818791946308725,,,-0.15436241610738255,A_MAIN,"base strong, recent confirms",18,18,-18.0,-0.03157894736842115,-0.03824154431112357,,
gate_first_noveto,603799,2026-06-29,2026-06-29,0.014021305118026663,22,0.9295302013422819,-0.0010870839303815853,87,0.7114093959731543,,,-0.2181208053691276,A_MAIN,"base strong, recent confirms",19,19,-19.0,-0.031081641110650593,-0.03774423805335301,,
