arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
turnover_aware,600118,2026-06-05,2026-06-05,0.02439451311099314,1,1.0,0.013311142631750459,3,0.9933333333333333,,,-0.00666666666666671,A_MAIN,"base strong, recent confirms",1,0.032266458495966696,1,1,0.032266458495966696,-0.05072992700729928,-0.05592970948098897,-0.07712895377128959,-0.11427975201765012
turnover_aware,300433,2026-06-05,2026-06-05,0.015127356235667409,6,0.9833333333333333,0.021769473504841978,2,0.9966666666666667,,,0.01333333333333342,A_MAIN,"base strong, recent confirms",5,0.03128054740957967,2,2,0.03128054740957967,0.0009380863039398779,-0.004261696169749815,0.0783302063789868,0.04117940813262628
turnover_aware,600183,2026-06-05,2026-06-05,0.014213935026482983,7,0.98,0.00767088776257111,5,0.9866666666666667,,,0.00666666666666671,A_MAIN,"base strong, recent confirms",6,0.030309988518943745,3,3,0.030309988518943745,0.11688796061465001,0.11168817814096031,0.24130986125615395,0.20415906300979342
turnover_aware,300308,2026-06-05,2026-06-05,0.023653284319320417,2,0.9966666666666667,0.0023879950422843986,16,0.95,,,-0.046666666666666745,A_MAIN,"base strong, recent confirms",2,0.02928692699490662,4,4,0.02928692699490662,-0.02683140113767224,-0.03203118361136193,0.07793141066156406,0.04078061241520354
turnover_aware,600522,2026-06-05,2026-06-05,0.011409392994626176,9,0.9733333333333334,0.004238532028477749,13,0.96,,,-0.01333333333333342,A_MAIN,"base strong, recent confirms",7,0.02819138376017471,5,5,0.02819138376017471,-0.005249343832020914,-0.010449126305710606,0.036745406824147064,-0.00040539142221345664
turnover_aware,300502,2026-06-05,2026-06-05,0.02264089889608435,3,0.9933333333333333,0.0005426328220718364,28,0.91,,,-0.08333333333333326,A_MAIN,"base strong, recent confirms",3,0.027236652236652236,6,6,0.027236652236652236,0.017034358746301992,0.0118345762726123,0.04505114174674674,0.007900343500386216
turnover_aware,600460,2026-06-05,2026-06-05,0.007260683469323512,23,0.9266666666666666,0.006919076706951953,7,0.98,,,0.053333333333333344,A_MAIN,"base strong, recent confirms",13,0.026973565905412694,7,7,0.026973565905412694,0.03267973856209139,0.027479956088401696,0.10084033613445365,0.06368953788809312
turnover_aware,688472,2026-06-05,2026-06-05,0.0060300884538473576,33,0.8933333333333333,0.005691796263351971,9,0.9733333333333334,,,0.08000000000000007,A_MAIN,"base strong, recent confirms",17,0.025245441795231416,8,8,0.025245441795231416,0.020054694621695512,0.01485491214800582,0.018231540565177617,-0.018919257681182904
turnover_aware,688126,2026-06-05,2026-06-05,0.006049275497911586,32,0.8966666666666666,0.0020138798791405205,20,0.9366666666666666,,,0.040000000000000036,A_MAIN,"base strong, recent confirms",16,0.023369565217391305,9,9,0.023369565217391305,0.22919818456883512,0.22399840209514543,0.18078668683812404,0.14363588859176352
turnover_aware,600160,2026-06-05,2026-06-05,0.0035479846575326114,68,0.7766666666666666,0.007482076589260259,6,0.9833333333333333,,,0.20666666666666667,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,26,0.022964015151515152,10,10,0.022964015151515152,0.0849431066419688,0.0797433241682791,0.23286583752315448,0.19571503927679396
