arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
baseline,300408,2026-05-20,2026-05-20,0.03401291654645918,2,0.9966666666666667,0.037040243127299394,2,0.9966666666666667,,,0.0,A_MAIN,"base strong, recent confirms",2,0.03225806451612903,1,1,0.03225806451612903,0.18746826444602416,0.16663973945825114,0.34162689143901703,0.3344508328424041
baseline,002938,2026-05-20,2026-05-20,0.02192680928415954,10,0.97,0.0408163174234875,1,1.0,,,0.030000000000000027,A_MAIN,"base strong, recent confirms",10,0.030679156908665108,2,2,0.030679156908665108,0.227802115610642,0.206973590622869,0.12191473448017942,0.1147386758835665
baseline,000988,2026-05-20,2026-05-20,0.024180133851860647,8,0.9766666666666667,0.026587070572270437,5,0.9866666666666667,,,0.010000000000000009,A_MAIN,"base strong, recent confirms",8,0.030090497737556562,3,3,0.030090497737556562,0.10623902153405762,0.0854104965462846,0.0757920759872488,0.06861601739063587
baseline,300316,2026-05-20,2026-05-20,0.021535360671789322,11,0.9666666666666667,0.03116816937389825,3,0.9933333333333333,,,0.026666666666666616,A_MAIN,"base strong, recent confirms",11,0.029957522915269395,4,4,0.029957522915269395,0.02652165617248614,0.005693131184713131,0.047319213890478995,0.04014315529386607
baseline,300308,2026-05-20,2026-05-20,0.028747884324278716,6,0.9833333333333333,0.024852774496356405,9,0.9733333333333334,,,-0.009999999999999898,A_MAIN,"base strong, recent confirms",6,0.02964426877470356,5,5,0.02964426877470356,0.1103952322467634,0.08956670725899038,0.20602210723417969,0.19884604863756677
baseline,688008,2026-05-20,2026-05-20,0.028090005318411965,7,0.98,0.019502129033431865,15,0.9533333333333334,,,-0.026666666666666616,A_MAIN,"base strong, recent confirms",7,0.028258706467661692,6,6,0.028258706467661692,0.03860090780791081,0.0177723828201378,-0.004539039554487534,-0.011715098151100459
baseline,002371,2026-05-20,2026-05-20,0.013165042425826761,20,0.9366666666666666,0.030052148586498486,4,0.99,,,0.053333333333333344,A_MAIN,"base strong, recent confirms",20,0.028125,7,7,0.028125,0.01095039140861842,-0.00987813357915459,-0.006018190319612704,-0.013194248916225629
baseline,300394,2026-05-20,2026-05-20,0.014883094599136826,16,0.95,0.022565850814456022,10,0.97,,,0.020000000000000018,A_MAIN,"base strong, recent confirms",16,0.027443609022556388,8,8,0.027443609022556388,0.2062297263578141,0.1854012013700411,0.3272061881393993,0.32003012954278637
baseline,002384,2026-05-20,2026-05-20,0.02946421330630561,5,0.9866666666666667,0.011344806155255,26,0.9166666666666666,,,-0.07000000000000006,A_MAIN,"base strong, recent confirms",5,0.02701252236135957,9,9,0.02701252236135957,0.06875392568971339,0.04792540070194038,0.05812436585012315,0.050948307253510225
baseline,600183,2026-05-20,2026-05-20,0.022568073734123874,9,0.9733333333333334,0.01606549527211907,20,0.9366666666666666,,,-0.036666666666666736,A_MAIN,"base strong, recent confirms",9,0.026992753623188405,10,10,0.026992753623188405,0.3054076198279394,0.2845790948401664,0.3815034821794345,0.3743274235828216
