symbol,date,trade_date,recent_score,recent_rank,recent_pct
300661,2026-07-06,2026-07-06,0.03298304248171208,1,1.0
002028,2026-07-06,2026-07-06,0.029263465240012883,2,0.9966555183946488
688506,2026-07-06,2026-07-06,0.027433305243142303,3,0.9933110367892977
603259,2026-07-06,2026-07-06,0.025026600847859876,4,0.9899665551839465
002422,2026-07-06,2026-07-06,0.024083077852764243,5,0.9866220735785953
000938,2026-07-06,2026-07-06,0.023587601018533147,6,0.9832775919732442
000725,2026-07-06,2026-07-06,0.0222698374174339,7,0.979933110367893
002916,2026-07-06,2026-07-06,0.021339914662658086,8,0.9765886287625418
600276,2026-07-06,2026-07-06,0.019851347463619155,9,0.9732441471571907
002311,2026-07-06,2026-07-06,0.01764189961062105,10,0.9698996655518395
300274,2026-07-06,2026-07-06,0.01643490344909261,11,0.9665551839464883
688183,2026-07-06,2026-07-06,0.015250292222089073,12,0.9632107023411371
603296,2026-07-06,2026-07-06,0.014944547751488783,13,0.959866220735786
000100,2026-07-06,2026-07-06,0.01413886758975348,14,0.9565217391304348
688256,2026-07-06,2026-07-06,0.01324980847848568,15,0.9531772575250836
300866,2026-07-06,2026-07-06,0.013115579640745669,16,0.9498327759197325
600584,2026-07-06,2026-07-06,0.0112941816682868,17,0.9464882943143813
600118,2026-07-06,2026-07-06,0.010309778032059236,18,0.9431438127090301
688981,2026-07-06,2026-07-06,0.009777433988379663,19,0.939799331103679
002353,2026-07-06,2026-07-06,0.009435623304206402,20,0.9364548494983278
002460,2026-07-06,2026-07-06,0.008682832590773874,21,0.9331103678929766
300476,2026-07-06,2026-07-06,0.007982900103019157,22,0.9297658862876255
600999,2026-07-06,2026-07-06,0.007791907271203114,23,0.9264214046822743
600188,2026-07-06,2026-07-06,0.007164315437079968,24,0.9230769230769231
002837,2026-07-06,2026-07-06,0.0070473121007882805,25,0.919732441471572
000977,2026-07-06,2026-07-06,0.006760536153990705,26,0.9163879598662207
002938,2026-07-06,2026-07-06,0.00674597014403425,27,0.9130434782608695
688223,2026-07-06,2026-07-06,0.006158259160205787,28,0.9096989966555183
601066,2026-07-06,2026-07-06,0.006017675648541516,29,0.9063545150501672
601600,2026-07-06,2026-07-06,0.005890853343112554,30,0.903010033444816
000776,2026-07-06,2026-07-06,0.005414205413867961,31,0.8996655518394648
600196,2026-07-06,2026-07-06,0.005357916258084434,32,0.8963210702341137
300033,2026-07-06,2026-07-06,0.0049418427786742155,33,0.8929765886287625
300450,2026-07-06,2026-07-06,0.004461516624414643,34,0.8896321070234113
002475,2026-07-06,2026-07-06,0.004213261468542371,35,0.8862876254180602
000338,2026-07-06,2026-07-06,0.004176877713591065,36,0.882943143812709
000975,2026-07-06,2026-07-06,0.003912394078947057,37,0.8795986622073578
605117,2026-07-06,2026-07-06,0.0038572332391135214,38,0.8762541806020067
600482,2026-07-06,2026-07-06,0.003601125761496419,39,0.8729096989966555
688472,2026-07-06,2026-07-06,0.003580909190829762,40,0.8695652173913043
600026,2026-07-06,2026-07-06,0.003408505865245626,41,0.8662207357859532
688126,2026-07-06,2026-07-06,0.0031865187777264468,42,0.862876254180602
600893,2026-07-06,2026-07-06,0.002903046869697424,43,0.8595317725752508
002466,2026-07-06,2026-07-06,0.0027055791812600656,44,0.8561872909698997
