as_of_date,rank,symbol,stock_name,industry_name,model_score,entry_close,latest_date,latest_close,return_current,benchmark_latest,benchmark_return_current,excess_return_current,hit_vs_benchmark_current
2026-06-18,86,300413,芒果超媒,数字媒体,0.001094,15.540000,2026-06-26,14.350000,-0.076577,4868.220000,-0.093711,0.017135,True
2026-06-18,87,002371,北方华创,半导体材料与设备,0.001032,721.040000,2026-06-26,813.370000,0.128051,4868.220000,-0.093711,0.221763,True
2026-06-18,88,601872,招商轮船,运输业,0.001027,17.140000,2026-06-26,19.560000,0.141190,4868.220000,-0.093711,0.234902,True
2026-06-18,89,000625,长安汽车,乘用车,0.000943,7.450000,2026-06-26,6.860000,-0.079195,4868.220000,-0.093711,0.014517,True
2026-06-18,90,002714,牧原股份,养殖,0.000809,33.630000,2026-06-26,33.560000,-0.002081,4868.220000,-0.093711,0.091630,True
2026-06-18,91,300274,阳光电源,发电设备,0.000797,146.980000,2026-06-26,151.050000,0.027691,4868.220000,-0.093711,0.121402,True
2026-06-18,92,002709,天赐材料,电气部件与设备,0.000794,51.610000,,,,4868.220000,-0.093711,,False
2026-06-18,93,300832,新产业,医疗器械,0.000776,42.000000,2026-06-26,42.390000,0.009286,4868.220000,-0.093711,0.102997,True
2026-06-18,94,603893,瑞芯微,集成电路,0.000733,180.660000,2026-06-26,182.000000,0.007417,4868.220000,-0.093711,0.101129,True
2026-06-18,95,000938,紫光股份,信息技术服务,0.000723,27.450000,,,,4868.220000,-0.093711,,False
2026-06-18,96,000768,中航西飞,航空航天,0.000638,20.590000,2026-06-26,19.910000,-0.033026,4868.220000,-0.093711,0.060686,True
2026-06-18,97,601021,601021,运输业,0.000601,45.760000,,,,4868.220000,-0.093711,,False
2026-06-18,98,300450,先导智能,专用机械,0.000600,46.730000,2026-06-26,40.830000,-0.126257,4868.220000,-0.093711,-0.032546,False
2026-06-18,99,002049,紫光国微,集成电路,0.000477,80.390000,2026-06-26,83.980000,0.044657,4868.220000,-0.093711,0.138369,True
2026-06-18,100,301236,软通动力,信息技术服务,0.000471,38.560000,,,,4868.220000,-0.093711,,False
2026-06-18,101,002493,荣盛石化,化学原料,0.000415,11.210000,2026-06-26,11.380000,0.015165,4868.220000,-0.093711,0.108876,True
2026-06-18,102,601689,601689,汽车零部件与轮胎,0.000382,62.300000,2026-06-26,52.750000,-0.153291,4868.220000,-0.093711,-0.059579,False
2026-06-18,103,601456,601456,证券公司,0.000306,9.170000,2026-06-26,8.900000,-0.029444,4868.220000,-0.093711,0.064268,True
2026-06-18,104,000617,中油资本,其他金融服务,0.000252,7.170000,2026-06-26,6.640000,-0.073919,4868.220000,-0.093711,0.019792,True
2026-06-18,105,000568,泸州老窖,酒,0.000238,80.930000,2026-06-26,75.200000,-0.070802,4868.220000,-0.093711,0.022909,True
2026-06-18,106,600519,600519,酒,0.000212,1215.000000,2026-06-26,1168.630000,-0.038165,4868.220000,-0.093711,0.055547,True
2026-06-18,107,600061,国投资本,证券公司,0.000181,6.360000,2026-06-26,6.510000,0.023585,4868.220000,-0.093711,0.117296,True
2026-06-18,108,000002,万  科Ａ,房地产开发与园区,0.000164,3.060000,,,,4868.220000,-0.093711,,False
2026-06-18,109,601211,601211,证券公司,0.000089,17.280000,,,,4868.220000,-0.093711,,False
2026-06-18,110,600196,复星医药,化学药,-0.000036,21.790000,2026-06-26,21.210000,-0.026618,4868.220000,-0.093711,0.067094,True
2026-06-18,111,601607,601607,食品与主要用品零售,-0.000069,15.910000,2026-06-26,15.290000,-0.038969,4868.220000,-0.093711,0.054742,True
2026-06-18,112,000977,浪潮信息,电子终端及组件,-0.000115,65.660000,2026-06-26,63.890000,-0.026957,4868.220000,-0.093711,0.066754,True
2026-06-18,113,600809,600809,酒,-0.000122,113.280000,2026-06-26,108.100000,-0.045727,4868.220000,-0.093711,0.047984,True
2026-06-18,114,600918,600918,证券公司,-0.000138,5.130000,2026-06-26,5.290000,0.031189,4868.220000,-0.093711,0.124901,True
2026-06-18,115,600009,上海机场,交通基本设施,-0.000193,23.160000,2026-06-26,23.200000,0.001727,4868.220000,-0.093711,0.095439,True
2026-06-18,116,601727,601727,发电设备,-0.000257,7.310000,2026-06-26,6.840000,-0.064295,4868.220000,-0.093711,0.029416,True
2026-06-18,117,300628,亿联网络,通信设备,-0.000315,33.200000,2026-06-26,33.280000,0.002410,4868.220000,-0.093711,0.096121,True
2026-06-18,118,601857,601857,石油与天然气,-0.000344,9.580000,,,,4868.220000,-0.093711,,False
2026-06-18,119,600938,600938,石油与天然气,-0.000353,30.700000,2026-06-26,27.370000,-0.108469,4868.220000,-0.093711,-0.014758,False
2026-06-18,120,300015,爱尔眼科,医疗商业与服务,-0.000424,8.270000,2026-06-26,8.000000,-0.032648,4868.220000,-0.093711,0.061063,True
2026-06-18,121,600036,招商银行,商业银行,-0.000488,37.260000,2026-06-26,36.000000,-0.033816,4868.220000,-0.093711,0.059895,True
2026-06-18,122,600999,600999,证券公司,-0.000491,18.580000,2026-06-26,20.480000,0.102260,4868.220000,-0.093711,0.195972,True
2026-06-18,123,601058,601058,汽车零部件与轮胎,-0.000610,11.500000,2026-06-26,11.730000,0.020000,4868.220000,-0.093711,0.113711,True
2026-06-18,124,002353,杰瑞股份,油气开采与油田服务,-0.000612,164.220000,,,,4868.220000,-0.093711,,False
2026-06-18,125,601878,浙商证券,证券公司,-0.000642,9.110000,2026-06-26,9.510000,0.043908,4868.220000,-0.093711,0.137619,True
2026-06-18,126,002179,中航光电,航空航天,-0.000682,40.780000,2026-06-26,42.690000,0.046837,4868.220000,-0.093711,0.140548,True
2026-06-18,127,601377,601377,证券公司,-0.000777,5.820000,2026-06-26,6.000000,0.030928,4868.220000,-0.093711,0.124639,True
2026-06-18,128,002236,大华股份,电子终端及组件,-0.000783,16.270000,2026-06-26,15.980000,-0.017824,4868.220000,-0.093711,0.075887,True
2026-06-18,129,600027,华电国际,电力及电网,-0.000854,4.770000,2026-06-26,4.460000,-0.064990,4868.220000,-0.093711,0.028722,True
2026-06-18,130,001391,国货航,跨境物流,-0.000898,4.390000,2026-06-26,4.150000,-0.054670,4868.220000,-0.093711,0.039042,True
2026-06-18,131,600515,600515,房地产开发与园区,-0.000947,2.850000,2026-06-26,2.720000,-0.045614,4868.220000,-0.093711,0.048097,True
2026-06-18,132,600585,600585,建筑材料,-0.000994,17.760000,2026-06-26,17.170000,-0.033221,4868.220000,-0.093711,0.060491,True
2026-06-18,133,601901,方正证券,证券公司,-0.001012,6.660000,2026-06-26,7.150000,0.073574,4868.220000,-0.093711,0.167285,True
2026-06-18,134,600926,600926,商业银行,-0.001043,15.640000,2026-06-26,14.850000,-0.050512,4868.220000,-0.093711,0.043200,True
2026-06-18,135,601225,601225,煤炭,-0.001078,22.970000,2026-06-26,20.700000,-0.098825,4868.220000,-0.093711,-0.005113,False
2026-06-18,136,000776,广发证券,证券公司,-0.001118,20.640000,2026-06-26,22.350000,0.082849,4868.220000,-0.093711,0.176560,True
2026-06-18,137,000792,盐湖股份,农用化工,-0.001200,29.750000,2026-06-26,28.910000,-0.028235,4868.220000,-0.093711,0.065476,True
2026-06-18,138,300059,东方财富,证券公司,-0.001244,18.600000,2026-06-26,20.070000,0.079032,4868.220000,-0.093711,0.172744,True
2026-06-18,139,300014,亿纬锂能,电气部件与设备,-0.001364,66.660000,2026-06-26,62.210000,-0.066757,4868.220000,-0.093711,0.026955,True
2026-06-18,140,600011,华能国际,电力及电网,-0.001365,7.640000,2026-06-26,7.310000,-0.043194,4868.220000,-0.093711,0.050518,True
2026-06-18,141,605117,德业股份,家用电器,-0.001366,103.200000,2026-06-26,96.490000,-0.065019,4868.220000,-0.093711,0.028692,True
2026-06-18,142,601117,601117,建筑与工程,-0.001428,8.080000,2026-06-26,7.520000,-0.069307,4868.220000,-0.093711,0.024404,True
2026-06-18,143,002001,新 和 成,化学药,-0.001488,28.000000,2026-06-26,29.580000,0.056429,4868.220000,-0.093711,0.150140,True
2026-06-18,144,000708,中信特钢,钢铁,-0.001493,13.530000,2026-06-26,12.950000,-0.042868,4868.220000,-0.093711,0.050844,True
2026-06-18,145,688271,联影医疗,医疗设备,-0.001494,103.480000,2026-06-26,98.230000,-0.050734,4868.220000,-0.093711,0.042977,True
