symbol,date,trade_date,base_score,base_rank,base_pct
301165,2026-07-06,2026-07-06,0.046577089808321474,1,1.0
688082,2026-07-06,2026-07-06,0.039370421194389764,2,0.9966555183946488
000975,2026-07-06,2026-07-06,0.032019045799209334,3,0.9933110367892977
002371,2026-07-06,2026-07-06,0.024759091089353903,4,0.9899665551839465
600176,2026-07-06,2026-07-06,0.024474764840658955,5,0.9866220735785953
002460,2026-07-06,2026-07-06,0.02122364421811164,6,0.9832775919732442
688012,2026-07-06,2026-07-06,0.02028491345361719,7,0.979933110367893
688506,2026-07-06,2026-07-06,0.019372282603504754,8,0.9765886287625418
300308,2026-07-06,2026-07-06,0.01697057893817745,9,0.9732441471571907
688521,2026-07-06,2026-07-06,0.01580776607407502,10,0.9698996655518395
301308,2026-07-06,2026-07-06,0.015744951202084134,11,0.9665551839464883
300450,2026-07-06,2026-07-06,0.015294418993342274,12,0.9632107023411371
603986,2026-07-06,2026-07-06,0.01520666484686572,13,0.959866220735786
300498,2026-07-06,2026-07-06,0.014664232141070542,14,0.9565217391304348
600547,2026-07-06,2026-07-06,0.012994083925535426,15,0.9531772575250836
601066,2026-07-06,2026-07-06,0.012924168742232687,16,0.9498327759197325
002625,2026-07-06,2026-07-06,0.012157077169898018,17,0.9464882943143813
002532,2026-07-06,2026-07-06,0.011801294756623825,18,0.9431438127090301
600660,2026-07-06,2026-07-06,0.011765380724720284,19,0.939799331103679
002028,2026-07-06,2026-07-06,0.011404421500706793,20,0.9364548494983278
601898,2026-07-06,2026-07-06,0.010870168446991995,21,0.9331103678929766
002938,2026-07-06,2026-07-06,0.010595422413542627,22,0.9297658862876255
300394,2026-07-06,2026-07-06,0.010345181978963475,23,0.9264214046822743
600415,2026-07-06,2026-07-06,0.010225003048600764,24,0.9230769230769231
600426,2026-07-06,2026-07-06,0.010027798598987758,25,0.919732441471572
600489,2026-07-06,2026-07-06,0.010015406887295734,26,0.9163879598662207
601225,2026-07-06,2026-07-06,0.009960868726493334,27,0.9130434782608695
688303,2026-07-06,2026-07-06,0.009929916706717789,28,0.9096989966555183
300418,2026-07-06,2026-07-06,0.009927730403675028,29,0.9063545150501672
605499,2026-07-06,2026-07-06,0.009739712030253648,30,0.903010033444816
300502,2026-07-06,2026-07-06,0.009314246648988469,31,0.8996655518394648
603799,2026-07-06,2026-07-06,0.009290894040663729,32,0.8963210702341137
000100,2026-07-06,2026-07-06,0.009208725754470385,33,0.8929765886287625
002916,2026-07-06,2026-07-06,0.009180301931022638,34,0.8896321070234113
600460,2026-07-06,2026-07-06,0.00916982234255946,35,0.8862876254180602
600188,2026-07-06,2026-07-06,0.00907610305082422,36,0.882943143812709
002074,2026-07-06,2026-07-06,0.00887265705768862,37,0.8795986622073578
300476,2026-07-06,2026-07-06,0.008761139983501734,38,0.8762541806020067
000938,2026-07-06,2026-07-06,0.008736200842917883,39,0.8729096989966555
000807,2026-07-06,2026-07-06,0.008700116935597035,40,0.8695652173913043
601600,2026-07-06,2026-07-06,0.008694831891279953,41,0.8662207357859532
002558,2026-07-06,2026-07-06,0.007785147782286568,42,0.862876254180602
688256,2026-07-06,2026-07-06,0.00777293592990276,43,0.8595317725752508
603501,2026-07-06,2026-07-06,0.007607652592009481,44,0.8561872909698997
688183,2026-07-06,2026-07-06,0.007313005543585703,45,0.8528428093645485
600066,2026-07-06,2026-07-06,0.007252156447315983,46,0.8494983277591973
600482,2026-07-06,2026-07-06,0.00707276169791874,47,0.8461538461538461
000657,2026-07-06,2026-07-06,0.00706056794629493,48,0.842809364548495
601916,2026-07-06,2026-07-06,0.006510112192685411,49,0.8394648829431438
688041,2026-07-06,2026-07-06,0.006379648289041832,50,0.8361204013377926
002353,2026-07-06,2026-07-06,0.006252717296637685,51,0.8327759197324415
603392,2026-07-06,2026-07-06,0.006249458293796768,52,0.8294314381270903
300661,2026-07-06,2026-07-06,0.006235094291781046,53,0.8260869565217391
601899,2026-07-06,2026-07-06,0.006125693561723177,54,0.822742474916388
000425,2026-07-06,2026-07-06,0.006008595247546913,55,0.8193979933110368
000999,2026-07-06,2026-07-06,0.005956503474191538,56,0.8160535117056856
600893,2026-07-06,2026-07-06,0.005859668107684333,57,0.8127090301003345
600875,2026-07-06,2026-07-06,0.005817311765095162,58,0.8093645484949833
002422,2026-07-06,2026-07-06,0.00581051325714616,59,0.8060200668896321
601088,2026-07-06,2026-07-06,0.005702519540465314,60,0.802675585284281
688223,2026-07-06,2026-07-06,0.005693907577910676,61,0.7993311036789298
000988,2026-07-06,2026-07-06,0.005629912500027023,62,0.7959866220735786
600999,2026-07-06,2026-07-06,0.00531114202802149,63,0.7926421404682275
601127,2026-07-06,2026-07-06,0.005302683518313795,64,0.7892976588628763
688472,2026-07-06,2026-07-06,0.005282030840859837,65,0.7859531772575251
603259,2026-07-06,2026-07-06,0.005129939242805214,66,0.782608695652174
600026,2026-07-06,2026-07-06,0.004958392681431818,67,0.7792642140468228
002594,2026-07-06,2026-07-06,0.004883238373505852,68,0.7759197324414716
300832,2026-07-06,2026-07-06,0.004828299430794225,69,0.7725752508361204
300803,2026-07-06,2026-07-06,0.004764950862173582,70,0.7692307692307693
002179,2026-07-06,2026-07-06,0.004725844302130071,71,0.7658862876254181
300274,2026-07-06,2026-07-06,0.00469761321457364,72,0.7625418060200669
601211,2026-07-06,2026-07-06,0.004622166782082936,73,0.7591973244147158
600438,2026-07-06,2026-07-06,0.004553639725143292,74,0.7558528428093646
301269,2026-07-06,2026-07-06,0.0045351235137454085,75,0.7525083612040134
603019,2026-07-06,2026-07-06,0.004312722248184163,76,0.7491638795986622
600233,2026-07-06,2026-07-06,0.004265399076541164,77,0.745819397993311
600809,2026-07-06,2026-07-06,0.004068998237634561,78,0.7424749163879598
002049,2026-07-06,2026-07-06,0.0040622658372256116,79,0.7391304347826086
603296,2026-07-06,2026-07-06,0.0040005342959398525,80,0.7357859531772575
000338,2026-07-06,2026-07-06,0.003986226423727831,81,0.7324414715719063
002709,2026-07-06,2026-07-06,0.003674424057881331,82,0.7290969899665551
600845,2026-07-06,2026-07-06,0.0035273106384258257,83,0.725752508361204
600030,2026-07-06,2026-07-06,0.0034077309843347312,84,0.7224080267558528
000408,2026-07-06,2026-07-06,0.0034033768511911515,85,0.7190635451505016
600515,2026-07-06,2026-07-06,0.0033672016328588138,86,0.7157190635451505
002241,2026-07-06,2026-07-06,0.003364620585577889,87,0.7123745819397993
002304,2026-07-06,2026-07-06,0.0033385352476244293,88,0.7090301003344481
300413,2026-07-06,2026-07-06,0.0033064042237690035,89,0.705685618729097
601138,2026-07-06,2026-07-06,0.003211170014761649,90,0.7023411371237458
600276,2026-07-06,2026-07-06,0.003202395001014951,91,0.6989966555183946
601633,2026-07-06,2026-07-06,0.0031449572268313747,92,0.6956521739130435
002920,2026-07-06,2026-07-06,0.00309588687481199,93,0.6923076923076923
600104,2026-07-06,2026-07-06,0.003077170141206715,94,0.6889632107023411
002648,2026-07-06,2026-07-06,0.003042747632750071,95,0.68561872909699
002311,2026-07-06,2026-07-06,0.003042191551227906,96,0.6822742474916388
002493,2026-07-06,2026-07-06,0.002999234907069256,97,0.6789297658862876
603369,2026-07-06,2026-07-06,0.0029929080381777794,98,0.6755852842809364
