as_of_date,rank,symbol,stock_name,industry_name,model_score,entry_close,benchmark_close,exit_date_d5,exit_close_d5,return_d5,benchmark_return_d5,excess_return_d5,predicted_rank,realized_rank_by_excess_d5,rank_diff_d5,hit_vs_benchmark_d5
2026-06-18,39,603986,兆易创新,集成电路,0.005654,629.000000,5371.600324,2026-06-26,770.000000,0.224165,-0.093711,0.317877,39,2.000000,-37.000000,True
2026-06-18,40,002602,世纪华通,文化娱乐,0.005634,12.940000,5371.600324,2026-06-26,13.670000,0.056414,-0.093711,0.150126,40,31.000000,-9.000000,True
2026-06-18,41,605499,东鹏饮料,软饮料,0.005540,120.600000,5371.600324,2026-06-26,110.900000,-0.080431,-0.093711,0.013280,41,219.000000,178.000000,True
2026-06-18,42,600438,600438,农牧渔产品,0.005409,12.850000,5371.600324,2026-06-26,11.960000,-0.069261,-0.093711,0.024451,42,198.000000,156.000000,True
2026-06-18,43,688041,海光信息,数字芯片设计,0.005288,328.000000,5371.600324,2026-06-26,344.900000,0.051524,-0.093711,0.145236,43,32.000000,-11.000000,True
2026-06-18,44,600570,600570,软件开发,0.005115,22.250000,5371.600324,2026-06-26,20.960000,-0.057978,-0.093711,0.035734,44,186.000000,142.000000,True
2026-06-18,45,300394,天孚通信,通信设备,0.005115,336.600000,5371.600324,2026-06-26,318.000000,-0.055258,-0.093711,0.038453,45,183.000000,138.000000,True
2026-06-18,46,601127,601127,乘用车,0.005084,64.810000,5371.600324,2026-06-26,59.800000,-0.077303,-0.093711,0.016409,46,214.000000,168.000000,True
2026-06-18,47,002202,金风科技,发电设备,0.005029,22.490000,5371.600324,2026-06-26,,,-0.093711,,47,,,False
2026-06-18,48,002074,国轩高科,储能设备,0.005012,29.710000,5371.600324,2026-06-26,,,-0.093711,,48,,,False
2026-06-18,49,002600,领益智造,电子终端及组件,0.004986,16.820000,5371.600324,2026-06-26,,,-0.093711,,49,,,False
2026-06-18,50,600547,600547,贵金属,0.004659,26.910000,5371.600324,2026-06-26,23.000000,-0.145299,-0.093711,-0.051588,50,258.000000,208.000000,False
2026-06-18,51,600803,600803,燃气,0.004639,16.280000,5371.600324,2026-06-26,15.900000,-0.023342,-0.093711,0.070370,51,107.000000,56.000000,True
2026-06-18,52,601238,601238,乘用车,0.004105,5.530000,5371.600324,2026-06-26,5.060000,-0.084991,-0.093711,0.008720,52,226.000000,174.000000,True
2026-06-18,53,600233,圆通速递,运输业,0.003955,15.800000,5371.600324,2026-06-26,15.290000,-0.032278,-0.093711,0.061433,53,126.000000,73.000000,True
2026-06-18,54,300122,智飞生物,生物药品,0.003633,12.210000,5371.600324,2026-06-26,11.380000,-0.067977,-0.093711,0.025734,54,196.000000,142.000000,True
2026-06-18,55,600588,600588,信息技术服务,0.003513,9.790000,5371.600324,2026-06-26,8.750000,-0.106231,-0.093711,-0.012519,55,248.000000,193.000000,False
2026-06-18,56,600219,南山铝业,工业金属,0.003493,4.530000,5371.600324,2026-06-26,4.090000,-0.097130,-0.093711,-0.003419,56,240.000000,184.000000,False
