symbol,date,trade_date,base_score,base_rank,base_pct
301165,2026-07-03,2026-07-03,0.034195967619706426,1,1.0
002422,2026-07-03,2026-07-03,0.020769708265063268,2,0.9966442953020134
000975,2026-07-03,2026-07-03,0.018621215099652064,3,0.9932885906040269
688012,2026-07-03,2026-07-03,0.016622480276859475,4,0.9899328859060402
300476,2026-07-03,2026-07-03,0.016614878119254623,5,0.9865771812080537
000807,2026-07-03,2026-07-03,0.015003433866185112,6,0.9832214765100671
002532,2026-07-03,2026-07-03,0.014942978310417104,7,0.9798657718120806
601600,2026-07-03,2026-07-03,0.014727860111859125,8,0.9765100671140939
002371,2026-07-03,2026-07-03,0.01435502232770078,9,0.9731543624161074
002625,2026-07-03,2026-07-03,0.01374029271140502,10,0.9697986577181208
688082,2026-07-03,2026-07-03,0.013658268520908233,11,0.9664429530201343
688256,2026-07-03,2026-07-03,0.013361250033278257,12,0.9630872483221476
600188,2026-07-03,2026-07-03,0.013230989950296057,13,0.959731543624161
002460,2026-07-03,2026-07-03,0.01251035893202974,14,0.9563758389261745
688521,2026-07-03,2026-07-03,0.011963502341578797,15,0.9530201342281879
002594,2026-07-03,2026-07-03,0.011413596716596357,16,0.9496644295302014
600489,2026-07-03,2026-07-03,0.011373902247150607,17,0.9463087248322147
600547,2026-07-03,2026-07-03,0.011236506522909225,18,0.9429530201342282
688506,2026-07-03,2026-07-03,0.011219688637155641,19,0.9395973154362416
300450,2026-07-03,2026-07-03,0.01069122868088074,20,0.9362416107382551
605499,2026-07-03,2026-07-03,0.010680156711619279,21,0.9328859060402684
300316,2026-07-03,2026-07-03,0.010391025406163053,22,0.9295302013422819
300661,2026-07-03,2026-07-03,0.010351217387880444,23,0.9261744966442953
002353,2026-07-03,2026-07-03,0.01019762846012921,24,0.9228187919463087
300502,2026-07-03,2026-07-03,0.010112188497112302,25,0.9194630872483222
601066,2026-07-03,2026-07-03,0.009950968283995868,26,0.9161073825503355
