feature,importance
atr_14,126
cs_zscore_volume,122
sector_momentum_10d,76
adx_14,71
volume,68
cs_zscore_close,63
rsi_12,59
obv,56
cs_rank_close,55
cs_main_flow_rank_5d,52
cs_rank_volume,50
macd_hist,49
reversal_3d,47
macd_dif,47
cs_zscore_rsi_6,46
cs_flow_reversal_5d,46
macd_dea,44
kdj_d,44
rsi_24,43
ma_60,41
