symbol,date,trade_date,recent_score,recent_rank,recent_pct
000100,2026-07-03,2026-07-03,0.030756836758409522,1,1.0
002028,2026-07-03,2026-07-03,0.030486550861267007,2,0.9966442953020134
300661,2026-07-03,2026-07-03,0.023972721870081405,3,0.9932885906040269
603259,2026-07-03,2026-07-03,0.023725483409045005,4,0.9899328859060402
688506,2026-07-03,2026-07-03,0.023623540787132767,5,0.9865771812080537
002916,2026-07-03,2026-07-03,0.022616172358382192,6,0.9832214765100671
600118,2026-07-03,2026-07-03,0.018190991122117355,7,0.9798657718120806
300033,2026-07-03,2026-07-03,0.016034067810526794,8,0.9765100671140939
600176,2026-07-03,2026-07-03,0.014603526073395764,9,0.9731543624161074
300274,2026-07-03,2026-07-03,0.014434240909544292,10,0.9697986577181208
002384,2026-07-03,2026-07-03,0.013358645456404295,11,0.9664429530201343
002353,2026-07-03,2026-07-03,0.013234013753317338,12,0.9630872483221476
600999,2026-07-03,2026-07-03,0.012276688343191,13,0.959731543624161
002920,2026-07-03,2026-07-03,0.012173500346882454,14,0.9563758389261745
600276,2026-07-03,2026-07-03,0.011971679127667815,15,0.9530201342281879
300433,2026-07-03,2026-07-03,0.011100869035761943,16,0.9496644295302014
002532,2026-07-03,2026-07-03,0.009947486920480808,17,0.9463087248322147
300450,2026-07-03,2026-07-03,0.009370624394484849,18,0.9429530201342282
300866,2026-07-03,2026-07-03,0.009308826410270716,19,0.9395973154362416
300408,2026-07-03,2026-07-03,0.009145647749711171,20,0.9362416107382551
002938,2026-07-03,2026-07-03,0.008982949186044573,21,0.9328859060402684
688256,2026-07-03,2026-07-03,0.008929151519670313,22,0.9295302013422819
002463,2026-07-03,2026-07-03,0.008911027949441017,23,0.9261744966442953
601600,2026-07-03,2026-07-03,0.008896204746549355,24,0.9228187919463087
601211,2026-07-03,2026-07-03,0.008508495375551633,25,0.9194630872483222
688303,2026-07-03,2026-07-03,0.008394071737251912,26,0.9161073825503355
600183,2026-07-03,2026-07-03,0.008190385200458953,27,0.912751677852349
300502,2026-07-03,2026-07-03,0.0081062090195732,28,0.9093959731543624
