symbol,date,close
688396,2026-06-29,92.47
688396,2026-06-30,97.55
688396,2026-07-01,93.45
688396,2026-07-02,87.38
688396,2026-07-03,83.6
688521,2026-06-29,362.0
688521,2026-06-30,371.14
688521,2026-07-01,342.1
688521,2026-07-02,309.5
688521,2026-07-03,303.0
688082,2026-06-29,447.95
688082,2026-06-30,432.0
688082,2026-07-01,405.0
688082,2026-07-02,370.0
688082,2026-07-03,363.43
600460,2026-06-29,52.59
600460,2026-06-30,54.66
600460,2026-07-01,53.15
600460,2026-07-02,50.5
600460,2026-07-03,47.25
601872,2026-06-29,18.26
601872,2026-06-30,17.57
601872,2026-07-01,16.87
601872,2026-07-02,16.53
601872,2026-07-03,17.0
600176,2026-06-29,70.98
600176,2026-06-30,72.88
600176,2026-07-01,70.27
600176,2026-07-02,67.82
600176,2026-07-03,70.9
300433,2026-06-29,51.83
300433,2026-06-30,53.66
300433,2026-07-01,53.42
300433,2026-07-02,50.69
300433,2026-07-03,52.42
600584,2026-06-29,103.25
600584,2026-06-30,103.55
600584,2026-07-01,106.64
600584,2026-07-02,95.98
600584,2026-07-03,90.88
000657,2026-06-29,95.57
000657,2026-06-30,95.72
000657,2026-07-01,95.94
000657,2026-07-02,97.03
000657,2026-07-03,89.63
600549,2026-06-29,83.86
600549,2026-06-30,85.2
600549,2026-07-01,84.9
600549,2026-07-02,82.15
600549,2026-07-03,75.05
000725,2026-06-29,7.95
000725,2026-06-30,8.68
000725,2026-07-01,8.77
000725,2026-07-02,9.1
000725,2026-07-03,8.38
603986,2026-06-29,840.0
603986,2026-06-30,815.0
603986,2026-07-01,772.01
603986,2026-07-02,694.81
603986,2026-07-03,677.77
603259,2026-06-29,126.17
603259,2026-06-30,124.51
603259,2026-07-01,125.2
603259,2026-07-02,121.3
603259,2026-07-03,124.12
603019,2026-06-29,97.48
603019,2026-06-30,107.23
603019,2026-07-01,102.45
603019,2026-07-02,94.56
603019,2026-07-03,92.68
002371,2026-06-29,859.41
002371,2026-06-30,883.76
002371,2026-07-01,934.51
002371,2026-07-02,841.06
002371,2026-07-03,816.0
688506,2026-06-29,297.01
688506,2026-06-30,294.03
688506,2026-07-01,319.9
688506,2026-07-02,335.5
688506,2026-07-03,340.0
600522,2026-06-29,58.84
600522,2026-06-30,60.68
600522,2026-07-01,55.42
600522,2026-07-02,51.58
600522,2026-07-03,50.22
300316,2026-06-29,56.2
300316,2026-06-30,60.4
300316,2026-07-01,60.51
300316,2026-07-02,53.8
300316,2026-07-03,51.08
000807,2026-06-29,23.16
000807,2026-06-30,22.14
000807,2026-07-01,21.8
000807,2026-07-02,21.77
000807,2026-07-03,22.42
300408,2026-06-29,166.69
300408,2026-06-30,166.9
300408,2026-07-01,170.46
300408,2026-07-02,148.2
300408,2026-07-03,144.89
300394,2026-06-29,295.15
300394,2026-06-30,302.68
300394,2026-07-01,285.0
300394,2026-07-02,250.77
300394,2026-07-03,250.1
600183,2026-06-29,171.16
600183,2026-06-30,173.4
600183,2026-07-01,164.8
600183,2026-07-02,151.95
600183,2026-07-03,160.78
002837,2026-06-29,76.7
002837,2026-06-30,79.56
002837,2026-07-01,74.73
002837,2026-07-02,71.4
002837,2026-07-03,71.43
688256,2026-06-29,1482.0
688256,2026-06-30,1595.55
688256,2026-07-01,1485.33
688256,2026-07-02,1372.0
688256,2026-07-03,1353.0
300033,2026-06-29,239.48
300033,2026-06-30,241.0
300033,2026-07-01,258.0
300033,2026-07-02,247.65
300033,2026-07-03,246.18
601066,2026-06-29,29.46
601066,2026-06-30,29.07
601066,2026-07-01,30.01
601066,2026-07-02,28.37
601066,2026-07-03,28.32
002916,2026-06-29,434.16
002916,2026-06-30,457.9
002916,2026-07-01,448.02
002916,2026-07-02,423.1
002916,2026-07-03,454.48
603260,2026-06-29,45.45
603260,2026-06-30,48.26
603260,2026-07-01,47.19
603260,2026-07-02,48.97
603260,2026-07-03,45.57
300661,2026-06-29,133.6
300661,2026-06-30,143.48
300661,2026-07-01,137.21
300661,2026-07-02,142.0
300661,2026-07-03,139.6
600362,2026-06-29,44.49
600362,2026-06-30,43.3
600362,2026-07-01,42.78
600362,2026-07-02,41.92
600362,2026-07-03,43.28
002460,2026-06-29,64.07
002460,2026-06-30,65.4
002460,2026-07-01,65.92
002460,2026-07-02,63.99
002460,2026-07-03,62.97
300476,2026-06-29,315.37
300476,2026-06-30,346.43
300476,2026-07-01,326.86
300476,2026-07-02,306.09
300476,2026-07-03,308.07
688126,2026-06-29,39.0
688126,2026-06-30,39.89
688126,2026-07-01,41.06
688126,2026-07-02,37.45
688126,2026-07-03,34.53
002709,2026-06-29,50.91
002709,2026-06-30,51.43
002709,2026-07-01,54.47
002709,2026-07-02,54.84
002709,2026-07-03,54.04
603993,2026-06-29,18.0
603993,2026-06-30,17.55
603993,2026-07-01,17.73
603993,2026-07-02,18.29
603993,2026-07-03,18.52
688303,2026-06-29,17.25
688303,2026-06-30,17.43
688303,2026-07-01,17.98
688303,2026-07-02,17.49
688303,2026-07-03,17.16
600547,2026-06-29,23.55
600547,2026-06-30,23.09
600547,2026-07-01,23.2
600547,2026-07-02,24.18
600547,2026-07-03,26.08
002179,2026-06-29,44.1
002179,2026-06-30,46.2
002179,2026-07-01,44.6
002179,2026-07-02,44.11
002179,2026-07-03,42.35
688183,2026-06-29,124.22
688183,2026-06-30,132.4
688183,2026-07-01,123.97
688183,2026-07-02,115.3
688183,2026-07-03,122.89
002600,2026-06-29,15.76
002600,2026-06-30,17.34
002600,2026-07-01,17.8
002600,2026-07-02,17.18
002600,2026-07-03,18.02
000776,2026-06-29,23.26
000776,2026-06-30,23.4
000776,2026-07-01,24.86
000776,2026-07-02,23.78
000776,2026-07-03,23.72
000630,2026-06-29,6.37
000630,2026-06-30,6.36
000630,2026-07-01,6.29
000630,2026-07-02,6.21
000630,2026-07-03,6.47
301269,2026-06-29,114.26
301269,2026-06-30,119.42
301269,2026-07-01,118.78
301269,2026-07-02,108.1
301269,2026-07-03,102.77
600482,2026-06-29,31.07
600482,2026-06-30,32.8
600482,2026-07-01,33.08
600482,2026-07-02,31.92
600482,2026-07-03,33.59
601689,2026-06-29,52.35
601689,2026-06-30,56.42
601689,2026-07-01,56.98
601689,2026-07-02,56.75
601689,2026-07-03,62.43
002625,2026-06-29,28.98
002625,2026-06-30,30.32
002625,2026-07-01,31.05
002625,2026-07-02,30.47
002625,2026-07-03,32.14
301165,2026-06-29,67.04
301165,2026-06-30,80.45
301165,2026-07-01,85.92
301165,2026-07-02,85.25
301165,2026-07-03,94.89
601600,2026-06-29,8.54
601600,2026-06-30,8.22
601600,2026-07-01,8.2
601600,2026-07-02,8.17
601600,2026-07-03,8.33
300413,2026-06-29,14.82
300413,2026-06-30,14.63
300413,2026-07-01,14.97
300413,2026-07-02,14.95
300413,2026-07-03,15.03
600030,2026-06-29,28.49
600030,2026-06-30,28.73
600030,2026-07-01,29.47
600030,2026-07-02,28.62
600030,2026-07-03,28.95
601688,2026-06-29,20.86
601688,2026-06-30,20.62
601688,2026-07-01,21.64
601688,2026-07-02,21.03
601688,2026-07-03,21.19
600489,2026-06-29,18.39
600489,2026-06-30,18.05
600489,2026-07-01,17.96
600489,2026-07-02,19.09
600489,2026-07-03,20.34
603296,2026-06-29,68.43
603296,2026-06-30,74.27
603296,2026-07-01,72.04
603296,2026-07-02,68.67
603296,2026-07-03,68.88
000977,2026-06-29,65.82
000977,2026-06-30,70.0
000977,2026-07-01,67.26
000977,2026-07-02,63.79
000977,2026-07-03,66.35
000100,2026-06-29,5.29
000100,2026-06-30,5.82
000100,2026-07-01,6.12
000100,2026-07-02,5.92
000100,2026-07-03,5.65
688981,2026-06-29,151.0
688981,2026-06-30,158.82
688981,2026-07-01,154.48
688981,2026-07-02,144.1
688981,2026-07-03,140.31
002074,2026-06-29,26.99
002074,2026-06-30,27.51
002074,2026-07-01,27.34
002074,2026-07-02,26.73
002074,2026-07-03,27.05
000568,2026-06-29,76.21
000568,2026-06-30,77.52
000568,2026-07-01,77.98
000568,2026-07-02,77.17
000568,2026-07-03,77.2
600188,2026-06-29,18.42
600188,2026-06-30,17.77
600188,2026-07-01,18.03
600188,2026-07-02,17.82
600188,2026-07-03,17.8
600426,2026-06-29,24.85
600426,2026-06-30,23.92
600426,2026-07-01,24.3
600426,2026-07-02,24.78
600426,2026-07-03,24.88
002049,2026-06-29,85.04
002049,2026-06-30,88.75
002049,2026-07-01,86.41
002049,2026-07-02,83.55
002049,2026-07-03,81.76
002493,2026-06-29,11.29
002493,2026-06-30,10.75
002493,2026-07-01,11.26
002493,2026-07-02,11.11
002493,2026-07-03,11.68
300418,2026-06-29,39.78
300418,2026-06-30,40.36
300418,2026-07-01,40.6
300418,2026-07-02,45.55
300418,2026-07-03,42.66
000617,2026-06-29,6.68
000617,2026-06-30,6.59
000617,2026-07-01,6.84
000617,2026-07-02,6.76
000617,2026-07-03,6.85
600085,2026-06-29,23.04
600085,2026-06-30,22.61
600085,2026-07-01,23.25
600085,2026-07-02,23.28
600085,2026-07-03,23.36
688223,2026-06-29,4.68
688223,2026-06-30,4.75
688223,2026-07-01,4.88
688223,2026-07-02,4.68
688223,2026-07-03,4.6
600588,2026-06-29,8.98
600588,2026-06-30,9.18
600588,2026-07-01,9.46
600588,2026-07-02,9.35
600588,2026-07-03,9.31
300124,2026-06-29,65.23
300124,2026-06-30,66.33
300124,2026-07-01,68.2
300124,2026-07-02,68.4
300124,2026-07-03,72.15
002353,2026-06-29,150.69
002353,2026-06-30,152.5
002353,2026-07-01,154.64
002353,2026-07-02,146.78
002353,2026-07-03,161.46
601138,2026-06-29,69.61
601138,2026-06-30,72.15
601138,2026-07-01,70.0
601138,2026-07-02,64.02
601138,2026-07-03,64.72
601238,2026-06-29,5.12
601238,2026-06-30,5.08
601238,2026-07-01,5.18
601238,2026-07-02,5.15
601238,2026-07-03,5.25
601633,2026-06-29,15.45
601633,2026-06-30,15.09
601633,2026-07-01,15.06
601633,2026-07-02,15.0
601633,2026-07-03,15.37
603799,2026-06-29,47.68
603799,2026-06-30,48.26
603799,2026-07-01,48.0
603799,2026-07-02,47.05
603799,2026-07-03,46.76
600118,2026-06-29,81.02
600118,2026-06-30,82.05
600118,2026-07-01,85.65
600118,2026-07-02,81.5
600118,2026-07-03,86.3
001979,2026-06-29,6.52
001979,2026-06-30,6.43
001979,2026-07-01,6.57
001979,2026-07-02,6.62
001979,2026-07-03,6.65
000408,2026-06-29,70.16
000408,2026-06-30,69.32
000408,2026-07-01,68.32
000408,2026-07-02,69.8
000408,2026-07-03,73.35
600036,2026-06-29,36.42
600036,2026-06-30,35.5
600036,2026-07-01,35.91
600036,2026-07-02,36.6
600036,2026-07-03,36.83
600941,2026-06-29,87.6
600941,2026-06-30,86.13
600941,2026-07-01,86.49
600941,2026-07-02,88.25
600941,2026-07-03,87.48
601898,2026-06-29,12.79
601898,2026-06-30,12.18
601898,2026-07-01,12.62
601898,2026-07-02,12.59
601898,2026-07-03,12.67
300308,2026-06-29,1220.0
300308,2026-06-30,1270.0
300308,2026-07-01,1223.17
300308,2026-07-02,1143.0
300308,2026-07-03,1116.0
601698,2026-06-29,29.15
601698,2026-06-30,30.25
601698,2026-07-01,30.8
601698,2026-07-02,29.69
601698,2026-07-03,31.25
000338,2026-06-29,26.19
000338,2026-06-30,27.25
000338,2026-07-01,27.8
000338,2026-07-02,26.4
000338,2026-07-03,28.14
601390,2026-06-29,4.25
601390,2026-06-30,4.17
601390,2026-07-01,4.25
601390,2026-07-02,4.26
601390,2026-07-03,4.28
002594,2026-06-29,79.64
002594,2026-06-30,79.7
002594,2026-07-01,80.66
002594,2026-07-02,83.57
002594,2026-07-03,88.47
300274,2026-06-29,155.64
300274,2026-06-30,159.02
300274,2026-07-01,136.92
300274,2026-07-02,127.84
300274,2026-07-03,126.16
300122,2026-06-29,12.02
300122,2026-06-30,11.69
300122,2026-07-01,12.37
300122,2026-07-02,12.17
300122,2026-07-03,12.17
600741,2026-06-29,16.0
600741,2026-06-30,15.52
600741,2026-07-01,15.51
600741,2026-07-02,15.55
600741,2026-07-03,16.1
600875,2026-06-29,28.97
600875,2026-06-30,28.77
600875,2026-07-01,28.9
600875,2026-07-02,27.91
600875,2026-07-03,28.89
002532,2026-06-29,11.16
002532,2026-06-30,10.73
002532,2026-07-01,10.82
002532,2026-07-02,10.93
002532,2026-07-03,11.37
601607,2026-06-29,15.88
601607,2026-06-30,15.4
601607,2026-07-01,15.65
601607,2026-07-02,15.92
601607,2026-07-03,16.12
601916,2026-06-29,2.74
601916,2026-06-30,2.63
601916,2026-07-01,2.68
601916,2026-07-02,2.71
