symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank
002422,2026-07-03,2026-07-03,0.020769708265063268,2,0.9966442953020134,0.005252527505068698,39,0.87248322147651,,,-0.12416107382550334,A_MAIN,"base strong, recent confirms",1
000975,2026-07-03,2026-07-03,0.018621215099652064,3,0.9932885906040269,0.003959514823325481,50,0.8355704697986577,,,-0.15771812080536918,A_MAIN,"base strong, recent confirms",2
688012,2026-07-03,2026-07-03,0.016622480276859475,4,0.9899328859060402,-0.00034310666656548475,109,0.6375838926174496,,,-0.3523489932885906,A_MAIN,"base strong, recent confirms",3
300476,2026-07-03,2026-07-03,0.016614878119254623,5,0.9865771812080537,0.0037093953652433333,52,0.8288590604026845,,,-0.15771812080536918,A_MAIN,"base strong, recent confirms",4
000807,2026-07-03,2026-07-03,0.015003433866185112,6,0.9832214765100671,0.005898711812604857,33,0.8926174496644296,,,-0.09060402684563751,A_MAIN,"base strong, recent confirms",5
002532,2026-07-03,2026-07-03,0.014942978310417104,7,0.9798657718120806,0.009947486920480808,17,0.9463087248322147,,,-0.033557046979865834,A_MAIN,"base strong, recent confirms",6
601600,2026-07-03,2026-07-03,0.014727860111859125,8,0.9765100671140939,0.008896204746549355,24,0.9228187919463087,,,-0.05369127516778527,A_MAIN,"base strong, recent confirms",7
002371,2026-07-03,2026-07-03,0.01435502232770078,9,0.9731543624161074,0.0008606717092510802,81,0.7315436241610739,,,-0.24161073825503354,A_MAIN,"base strong, recent confirms",8
688082,2026-07-03,2026-07-03,0.013658268520908233,11,0.9664429530201343,0.00416774810790492,46,0.8489932885906041,,,-0.1174496644295302,A_MAIN,"base strong, recent confirms",9
688256,2026-07-03,2026-07-03,0.013361250033278257,12,0.9630872483221476,0.008929151519670313,22,0.9295302013422819,,,-0.03355704697986572,A_MAIN,"base strong, recent confirms",10
600188,2026-07-03,2026-07-03,0.013230989950296057,13,0.959731543624161,0.0013898537863935275,70,0.7684563758389261,,,-0.1912751677852349,A_MAIN,"base strong, recent confirms",11
002460,2026-07-03,2026-07-03,0.01251035893202974,14,0.9563758389261745,0.005045015874290989,41,0.8657718120805369,,,-0.09060402684563762,A_MAIN,"base strong, recent confirms",12
688521,2026-07-03,2026-07-03,0.011963502341578797,15,0.9530201342281879,0.0030643322607170494,56,0.8154362416107382,,,-0.13758389261744963,A_MAIN,"base strong, recent confirms",13
600489,2026-07-03,2026-07-03,0.011373902247150607,17,0.9463087248322147,-0.00048741975927869157,111,0.6308724832214765,,,-0.31543624161073824,A_MAIN,"base strong, recent confirms",14
688506,2026-07-03,2026-07-03,0.011219688637155641,19,0.9395973154362416,0.023623540787132767,5,0.9865771812080537,,,0.046979865771812124,A_MAIN,"base strong, recent confirms",15
300450,2026-07-03,2026-07-03,0.01069122868088074,20,0.9362416107382551,0.009370624394484849,18,0.9429530201342282,,,0.006711409395973145,A_MAIN,"base strong, recent confirms",16
605499,2026-07-03,2026-07-03,0.010680156711619279,21,0.9328859060402684,0.0038044203348956214,51,0.8322147651006712,,,-0.10067114093959728,A_MAIN,"base strong, recent confirms",17
300661,2026-07-03,2026-07-03,0.010351217387880444,23,0.9261744966442953,0.023972721870081405,3,0.9932885906040269,,,0.06711409395973156,A_MAIN,"base strong, recent confirms",18
002353,2026-07-03,2026-07-03,0.01019762846012921,24,0.9228187919463087,0.013234013753317338,12,0.9630872483221476,,,0.04026845637583898,A_MAIN,"base strong, recent confirms",19
300502,2026-07-03,2026-07-03,0.010112188497112302,25,0.9194630872483222,0.0081062090195732,28,0.9093959731543624,,,-0.010067114093959773,A_MAIN,"base strong, recent confirms",20
601066,2026-07-03,2026-07-03,0.009950968283995868,26,0.9161073825503355,0.003258038268180123,54,0.8221476510067114,,,-0.09395973154362414,A_MAIN,"base strong, recent confirms",21
688303,2026-07-03,2026-07-03,0.00939548082464411,27,0.912751677852349,0.008394071737251912,26,0.9161073825503355,,,0.003355704697986517,A_MAIN,"base strong, recent confirms",22
688223,2026-07-03,2026-07-03,0.009032928304003941,28,0.9093959731543624,0.005472212885338951,36,0.8825503355704698,,,-0.02684563758389258,A_MAIN,"base strong, recent confirms",23
600999,2026-07-03,2026-07-03,0.008893236165715074,29,0.9060402684563759,0.012276688343191,13,0.959731543624161,,,0.05369127516778516,A_MAIN,"base strong, recent confirms",24
601898,2026-07-03,2026-07-03,0.008245396099860188,31,0.8993288590604027,0.0010554668575660244,76,0.7483221476510067,,,-0.15100671140939603,A_MAIN,"base strong, recent confirms",25
600233,2026-07-03,2026-07-03,0.008108224698589975,32,0.8959731543624161,0.0001275871555440113,96,0.6812080536912751,,,-0.21476510067114096,A_MAIN,"base strong, recent confirms",26
002475,2026-07-03,2026-07-03,0.008043123799918343,33,0.8926174496644296,0.004491016797372423,44,0.8557046979865772,,,-0.03691275167785235,A_MAIN,"base strong, recent confirms",27
600893,2026-07-03,2026-07-03,0.007809233212368629,35,0.8859060402684564,-0.0009447396044004617,116,0.6140939597315436,,,-0.27181208053691286,A_MAIN,"base strong, recent confirms",28
000408,2026-07-03,2026-07-03,0.0075929141911198865,36,0.8825503355704698,0.004625385670897968,43,0.8590604026845637,,,-0.023489932885906062,A_MAIN,"base strong, recent confirms",29
001979,2026-07-03,2026-07-03,0.007571398667591768,37,0.8791946308724832,0.0036074865343554497,53,0.825503355704698,,,-0.05369127516778516,A_MAIN,"base strong, recent confirms",30
000338,2026-07-03,2026-07-03,0.007550813964800267,38,0.8758389261744967,0.007137183653846773,31,0.8993288590604027,,,0.023489932885906062,A_MAIN,"base strong, recent confirms",31
600482,2026-07-03,2026-07-03,0.0074429015730468,39,0.87248322147651,0.002517048522207315,60,0.802013422818792,,,-0.07046979865771807,A_MAIN,"base strong, recent confirms",32
603259,2026-07-03,2026-07-03,0.007417274066102822,40,0.8691275167785235,0.023725483409045005,4,0.9899328859060402,,,0.12080536912751672,A_MAIN,"base strong, recent confirms",33
000657,2026-07-03,2026-07-03,0.00725398268502661,41,0.8657718120805369,-0.00023307854830520282,102,0.6610738255033557,,,-0.2046979865771812,A_MAIN,"base strong, recent confirms",34
688041,2026-07-03,2026-07-03,0.0071892007125670026,42,0.8624161073825504,0.004347482391667232,45,0.8523489932885906,,,-0.010067114093959773,A_MAIN,"base strong, recent confirms",35
600438,2026-07-03,2026-07-03,0.007127330756224447,43,0.8590604026845637,0.001503106051865051,69,0.7718120805369127,,,-0.08724832214765099,A_MAIN,"base strong, recent confirms",36
002938,2026-07-03,2026-07-03,0.007054841561687972,44,0.8557046979865772,0.008982949186044573,21,0.9328859060402684,,,0.07718120805369122,A_MAIN,"base strong, recent confirms",37
600426,2026-07-03,2026-07-03,0.0066959009408705025,47,0.8456375838926175,0.0011064271040960938,74,0.7550335570469798,,,-0.09060402684563762,A_MAIN,"base strong, recent confirms",38
600066,2026-07-03,2026-07-03,0.006552294152335748,48,0.8422818791946308,-0.00017403989810969037,101,0.6644295302013423,,,-0.1778523489932885,A_MAIN,"base strong, recent confirms",39
002920,2026-07-03,2026-07-03,0.00652459906502328,49,0.8389261744966443,0.012173500346882454,14,0.9563758389261745,,,0.1174496644295302,A_MAIN,"base strong, recent confirms",40
600030,2026-07-03,2026-07-03,0.0063457786103340765,50,0.8355704697986577,0.0021282066138608785,64,0.7885906040268457,,,-0.04697986577181201,A_MAIN,"base strong, recent confirms",41
600549,2026-07-03,2026-07-03,0.0062611258811186375,52,0.8288590604026845,0.0011261241534533933,73,0.7583892617449665,,,-0.07046979865771807,A_MAIN,"base strong, recent confirms",42
002028,2026-07-03,2026-07-03,0.006231592174257908,53,0.825503355704698,0.030486550861267007,2,0.9966442953020134,,,0.17114093959731536,A_MAIN,"base strong, recent confirms",43
300274,2026-07-03,2026-07-03,0.0061515738795330215,54,0.8221476510067114,0.014434240909544292,10,0.9697986577181208,,,0.1476510067114094,A_MAIN,"base strong, recent confirms",44
000776,2026-07-03,2026-07-03,0.005950544889668593,55,0.8187919463087249,0.007881635519219485,29,0.9060402684563759,,,0.08724832214765099,A_MAIN,"base strong, recent confirms",45
688472,2026-07-03,2026-07-03,0.005827584135126686,56,0.8154362416107382,0.003232722365951046,55,0.8187919463087249,,,0.003355704697986628,A_MAIN,"base strong, recent confirms",46
600845,2026-07-03,2026-07-03,0.00563702268940839,58,0.8087248322147651,0.00015694162600461166,94,0.6879194630872483,,,-0.12080536912751683,A_MAIN,"base strong, recent confirms",47
600048,2026-07-03,2026-07-03,0.005348201675310819,59,0.8053691275167785,-4.8835764095844786e-05,98,0.674496644295302,,,-0.1308724832214765,A_MAIN,"base strong, recent confirms",48
600875,2026-07-03,2026-07-03,0.005098988738482614,60,0.802013422818792,-0.0003477125950249899,110,0.6342281879194631,,,-0.16778523489932884,A_MAIN,"base strong, recent confirms",49
002463,2026-07-03,2026-07-03,0.004611305760852088,66,0.7818791946308725,0.008911027949441017,23,0.9261744966442953,,,0.14429530201342278,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,50
300033,2026-07-03,2026-07-03,0.00450436270159544,67,0.7785234899328859,0.016034067810526794,8,0.9765100671140939,,,0.19798657718120805,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,51
002384,2026-07-03,2026-07-03,0.004428210852038887,69,0.7718120805369127,0.013358645456404295,11,0.9664429530201343,,,0.19463087248322153,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,52
000100,2026-07-03,2026-07-03,0.0037579863978979685,80,0.7348993288590604,0.030756836758409522,1,1.0,,,0.2651006711409396,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,53
300803,2026-07-03,2026-07-03,0.003490028343095528,90,0.7013422818791947,0.005290305880766249,38,0.8758389261744967,,,0.17449664429530198,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,54
601211,2026-07-03,2026-07-03,0.002890199825224881,108,0.6409395973154363,0.008508495375551633,25,0.9194630872483222,,,0.2785234899328859,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,55
300866,2026-07-03,2026-07-03,0.0028306323691467527,111,0.6308724832214765,0.009308826410270716,19,0.9395973154362416,,,0.3087248322147651,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,56
688183,2026-07-03,2026-07-03,0.002804119654082965,113,0.6241610738255033,0.005491225708622688,35,0.8859060402684564,,,0.2617449664429531,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,57
