feature,importance
atr_14,129
cs_zscore_volume,103
cs_rank_close,70
volume,66
obv,60
sector_momentum_10d,60
cs_zscore_close,59
cs_rank_volume,59
adx_14,57
rsi_12,56
cs_zscore_rsi_6,54
reversal_3d,54
ma_60,53
macd_hist,52
macd_dif,51
kdj_d,49
rsi_24,46
cs_main_flow_rank_5d,45
cs_flow_reversal_5d,39
macd_dea,37
