window_id,train_start,train_end,test_start,test_end,n_train,n_test,rank_ic_mean,icir,sharpe,n_independent_periods
0,2023-01-03,2024-06-17,2024-06-26,2024-12-25,103634,36770,-0.016932,-0.1108,-1.1476,24
1,2023-01-03,2024-12-17,2024-12-26,2025-06-25,140404,35109,0.013478,0.0811,1.4459,23
2,2023-01-03,2025-06-17,2025-06-26,2025-12-25,175507,37302,0.010244,0.0753,0.7519,25
3,2023-01-03,2025-12-17,2025-12-26,2026-06-25,212802,34975,0.019541,0.1254,2.9047,23
