window_id,train_start,train_end,test_start,test_end,n_train,n_test,rank_ic_mean,icir,sharpe,n_independent_periods
0,2023-01-03,2024-05-10,2024-06-04,2024-12-03,96211,36473,0.015139,0.0892,3.1976,6
1,2023-01-03,2024-11-08,2024-12-04,2025-06-03,132385,35101,0.033639,0.2497,2.7648,5
2,2023-01-03,2025-05-09,2025-06-04,2025-12-03,167779,37287,-0.008528,-0.0588,-1.41,6
3,2023-01-03,2025-11-10,2025-12-04,2026-06-03,204759,35250,0.023586,0.2508,-0.1561,5
