window_id,train_start,train_end,test_start,test_end,n_train,n_test,rank_ic_mean,icir,sharpe,n_independent_periods
0,2023-01-03,2024-06-21,2024-06-30,2024-12-29,104822,36473,-0.018507,-0.1294,-1.0364,41
1,2023-01-03,2024-12-23,2024-12-30,2025-06-29,141592,35111,0.002998,0.0187,0.356,39
2,2023-01-03,2025-06-23,2025-06-30,2025-12-29,176699,37304,-0.002421,-0.0161,0.0109,41
3,2023-01-03,2025-12-23,2025-12-30,2026-06-29,213999,34977,0.008322,0.0558,1.4503,39
