date,arm,metric,value
2026-04-13,turnover_aware,top50_ret_fwd_5d_cs_gross,0.003296709112642274
2026-04-13,turnover_aware,top50_ret_fwd_5d_cs_net,0.002296709112642274
2026-04-13,turnover_aware,precision_at_20_excess,0.45
2026-04-13,turnover_aware,precision_at_50_excess,0.4
2026-04-16,baseline,rank_ic_ret_fwd_3d,0.09529349550502378
2026-04-16,baseline,top20_ret_fwd_3d_gross,0.03956564518951392
2026-04-16,baseline,top20_ret_fwd_3d_net,0.03856564518951392
2026-04-16,baseline,top50_ret_fwd_3d_gross,0.01927602484989362
2026-04-16,baseline,top50_ret_fwd_3d_net,0.01827602484989362
2026-04-16,baseline,top20_ret_fwd_3d_cs_gross,0.02766641704671461
2026-04-16,baseline,top20_ret_fwd_3d_cs_net,0.02666641704671461
2026-04-16,baseline,top50_ret_fwd_3d_cs_gross,0.007376796707094308
2026-04-16,baseline,top50_ret_fwd_3d_cs_net,0.006376796707094308
2026-04-16,baseline,top20_ret_fwd_5d_gross,0.021336212802800188
2026-04-16,baseline,top20_ret_fwd_5d_net,0.020336212802800187
2026-04-16,baseline,top50_ret_fwd_5d_gross,0.0057705850906901055
2026-04-16,baseline,top50_ret_fwd_5d_net,0.0047705850906901055
2026-04-16,baseline,top20_ret_fwd_5d_cs_gross,0.015708282355028184
2026-04-16,baseline,top20_ret_fwd_5d_cs_net,0.014708282355028184
2026-04-16,baseline,top50_ret_fwd_5d_cs_gross,0.00014265464291810304
2026-04-16,baseline,top50_ret_fwd_5d_cs_net,-0.000857345357081897
2026-04-16,baseline,precision_at_20_excess,0.65
2026-04-16,baseline,precision_at_50_excess,0.44
2026-04-16,turnover_aware,rank_ic_ret_fwd_3d,0.09529349550502378
2026-04-16,turnover_aware,top20_ret_fwd_3d_gross,0.029782001374155924
2026-04-16,turnover_aware,top20_ret_fwd_3d_net,0.028782001374155923
2026-04-16,turnover_aware,top50_ret_fwd_3d_gross,0.01927602484989362
2026-04-16,turnover_aware,top50_ret_fwd_3d_net,0.01827602484989362
2026-04-16,turnover_aware,top20_ret_fwd_3d_cs_gross,0.017882773231356612
2026-04-16,turnover_aware,top20_ret_fwd_3d_cs_net,0.01688277323135661
2026-04-16,turnover_aware,top50_ret_fwd_3d_cs_gross,0.007376796707094308
2026-04-16,turnover_aware,top50_ret_fwd_3d_cs_net,0.006376796707094308
2026-04-16,turnover_aware,top20_ret_fwd_5d_gross,0.007114862389835169
2026-04-16,turnover_aware,top20_ret_fwd_5d_net,0.006114862389835169
2026-04-16,turnover_aware,top50_ret_fwd_5d_gross,0.0057705850906901055
2026-04-16,turnover_aware,top50_ret_fwd_5d_net,0.0047705850906901055
2026-04-16,turnover_aware,top20_ret_fwd_5d_cs_gross,0.0014869319420631661
2026-04-16,turnover_aware,top20_ret_fwd_5d_cs_net,0.0004869319420631661
2026-04-16,turnover_aware,top50_ret_fwd_5d_cs_gross,0.0001426546429181022
2026-04-16,turnover_aware,top50_ret_fwd_5d_cs_net,-0.0008573453570818978
2026-04-16,turnover_aware,precision_at_20_excess,0.55
2026-04-16,turnover_aware,precision_at_50_excess,0.44
2026-04-21,baseline,rank_ic_ret_fwd_3d,-0.04249314626673117
2026-04-21,baseline,top20_ret_fwd_3d_gross,-0.015255211647915833
2026-04-21,baseline,top20_ret_fwd_3d_net,-0.016255211647915834
2026-04-21,baseline,top50_ret_fwd_3d_gross,-0.0014688091162373706
2026-04-21,baseline,top50_ret_fwd_3d_net,-0.0024688091162373706
2026-04-21,baseline,top20_ret_fwd_3d_cs_gross,-0.010964121095939734
2026-04-21,baseline,top20_ret_fwd_3d_cs_net,-0.011964121095939733
2026-04-21,baseline,top50_ret_fwd_3d_cs_gross,0.0028222814357387305
2026-04-21,baseline,top50_ret_fwd_3d_cs_net,0.0018222814357387305
2026-04-21,baseline,top20_ret_fwd_5d_gross,-0.01189879477740124
2026-04-21,baseline,top20_ret_fwd_5d_net,-0.012898794777401239
2026-04-21,baseline,top50_ret_fwd_5d_gross,-0.003866146617235633
2026-04-21,baseline,top50_ret_fwd_5d_net,-0.004866146617235632
2026-04-21,baseline,top20_ret_fwd_5d_cs_gross,-0.014999409532684842
2026-04-21,baseline,top20_ret_fwd_5d_cs_net,-0.015999409532684843
2026-04-21,baseline,top50_ret_fwd_5d_cs_gross,-0.006966761372519239
2026-04-21,baseline,top50_ret_fwd_5d_cs_net,-0.007966761372519239
2026-04-21,baseline,precision_at_20_excess,0.45
2026-04-21,baseline,precision_at_50_excess,0.48
2026-04-21,turnover_aware,rank_ic_ret_fwd_3d,-0.04249314626673117
2026-04-21,turnover_aware,top20_ret_fwd_3d_gross,-0.017352966694670013
2026-04-21,turnover_aware,top20_ret_fwd_3d_net,-0.018352966694670014
2026-04-21,turnover_aware,top50_ret_fwd_3d_gross,-0.0014688091162373706
2026-04-21,turnover_aware,top50_ret_fwd_3d_net,-0.0024688091162373706
2026-04-21,turnover_aware,top20_ret_fwd_3d_cs_gross,-0.013061876142693912
2026-04-21,turnover_aware,top20_ret_fwd_3d_cs_net,-0.014061876142693913
2026-04-21,turnover_aware,top50_ret_fwd_3d_cs_gross,0.0028222814357387314
2026-04-21,turnover_aware,top50_ret_fwd_3d_cs_net,0.0018222814357387314
2026-04-21,turnover_aware,top20_ret_fwd_5d_gross,-0.02001710658678944
2026-04-21,turnover_aware,top20_ret_fwd_5d_net,-0.02101710658678944
2026-04-21,turnover_aware,top50_ret_fwd_5d_gross,-0.003866146617235633
2026-04-21,turnover_aware,top50_ret_fwd_5d_net,-0.004866146617235632
2026-04-21,turnover_aware,top20_ret_fwd_5d_cs_gross,-0.02311772134207305
2026-04-21,turnover_aware,top20_ret_fwd_5d_cs_net,-0.024117721342073052
2026-04-21,turnover_aware,top50_ret_fwd_5d_cs_gross,-0.006966761372519241
2026-04-21,turnover_aware,top50_ret_fwd_5d_cs_net,-0.00796676137251924
2026-04-21,turnover_aware,precision_at_20_excess,0.4
2026-04-21,turnover_aware,precision_at_50_excess,0.48
2026-04-24,baseline,rank_ic_ret_fwd_3d,0.08377681019190454
2026-04-24,baseline,top20_ret_fwd_3d_gross,0.0015822347874176745
2026-04-24,baseline,top20_ret_fwd_3d_net,0.0005822347874176745
2026-04-24,baseline,top50_ret_fwd_3d_gross,0.0031681657828012176
2026-04-24,baseline,top50_ret_fwd_3d_net,0.0021681657828012176
2026-04-24,baseline,top20_ret_fwd_3d_cs_gross,-0.00554392609972533
2026-04-24,baseline,top20_ret_fwd_3d_cs_net,-0.00654392609972533
2026-04-24,baseline,top50_ret_fwd_3d_cs_gross,-0.00395799510434179
2026-04-24,baseline,top50_ret_fwd_3d_cs_net,-0.00495799510434179
2026-04-24,baseline,top20_ret_fwd_5d_gross,0.05571084562589559
2026-04-24,baseline,top20_ret_fwd_5d_net,0.054710845625895586
2026-04-24,baseline,top50_ret_fwd_5d_gross,0.03396954248118338
2026-04-24,baseline,top50_ret_fwd_5d_net,0.03296954248118338
2026-04-24,baseline,top20_ret_fwd_5d_cs_gross,0.03169792274780327
2026-04-24,baseline,top20_ret_fwd_5d_cs_net,0.030697922747803266
2026-04-24,baseline,top50_ret_fwd_5d_cs_gross,0.009956619603091075
2026-04-24,baseline,top50_ret_fwd_5d_cs_net,0.008956619603091076
2026-04-24,baseline,precision_at_20_excess,0.45
2026-04-24,baseline,precision_at_50_excess,0.46
2026-04-24,turnover_aware,rank_ic_ret_fwd_3d,0.08377681019190454
2026-04-24,turnover_aware,top20_ret_fwd_3d_gross,-2.2145819124480547e-05
2026-04-24,turnover_aware,top20_ret_fwd_3d_net,-0.0010221458191244806
2026-04-24,turnover_aware,top50_ret_fwd_3d_gross,0.0031681657828012176
2026-04-24,turnover_aware,top50_ret_fwd_3d_net,0.0021681657828012176
2026-04-24,turnover_aware,top20_ret_fwd_3d_cs_gross,-0.007148306706267487
2026-04-24,turnover_aware,top20_ret_fwd_3d_cs_net,-0.008148306706267486
2026-04-24,turnover_aware,top50_ret_fwd_3d_cs_gross,-0.00395799510434179
2026-04-24,turnover_aware,top50_ret_fwd_3d_cs_net,-0.00495799510434179
2026-04-24,turnover_aware,top20_ret_fwd_5d_gross,0.04884816495581604
2026-04-24,turnover_aware,top20_ret_fwd_5d_net,0.047848164955816036
2026-04-24,turnover_aware,top50_ret_fwd_5d_gross,0.03396954248118338
2026-04-24,turnover_aware,top50_ret_fwd_5d_net,0.03296954248118338
2026-04-24,turnover_aware,top20_ret_fwd_5d_cs_gross,0.024835242077723724
2026-04-24,turnover_aware,top20_ret_fwd_5d_cs_net,0.023835242077723723
